Run,im,Tempo_UTC,Somma_Pixel_Esterni,fondo_per_pixel
1,1,2025-01-20T21:28:15.164,1494297.6024861324,0.2375122074264101
1,2,2025-01-20T21:28:35.852,289195.4459668261,0.04596637820670225
1,3,2025-01-20T21:28:55.719,274669.086540698,0.04365747555743822
1,4,2025-01-20T21:29:15.881,272911.11671674775,0.043378053779085116
1,5,2025-01-20T21:29:36.262,287721.3935073637,0.04573208387809812
1,6,2025-01-20T21:29:56.628,287728.37875905924,0.04573319415395407
1,7,2025-01-20T21:30:16.994,272817.1063522437,0.043363111234067865
1,8,2025-01-20T21:30:37.361,278400.35208959924,0.04425054424438465
1,9,2025-01-20T21:30:57.433,276266.3774723098,0.04391135811365601
1,10,2025-01-20T21:31:17.800,271077.63801093487,0.0430866301871832
1,11,2025-01-20T21:31:38.168,275726.0601779087,0.04382547699259261
1,12,2025-01-20T21:31:58.433,275189.81280033715,0.043740242767387576
1,13,2025-01-20T21:32:18.893,275166.97866523836,0.04373661337935739
1,14,2025-01-20T21:32:39.165,268839.6352345824,0.042730909225874324
1,15,2025-01-20T21:32:59.438,408025.3759889952,0.06485388692045135
1,16,2025-01-20T21:33:19.715,392140.880729129,0.062329114394049485
1,17,2025-01-20T21:33:39.997,435341.981191337,0.0691957443859318
1,18,2025-01-20T21:34:00.274,415008.65181589493,0.06596384872053383
1,19,2025-01-20T21:34:20.754,432316.43543214584,0.06871484683865639
1,20,2025-01-20T21:34:41.036,416466.6353105666,0.06619558895596926
1,21,2025-01-20T21:35:01.310,422640.6416257798,0.0671769208313274
1,22,2025-01-20T21:35:21.588,412424.5025807737,0.06555310926131784
1,23,2025-01-20T21:35:41.761,400656.0368353186,0.06368256200715997
1,24,2025-01-20T21:36:02.131,420517.9913855201,0.06683953466185252
1,25,2025-01-20T21:36:22.606,401929.45620750246,0.06388496656537095
1,26,2025-01-20T21:36:43.082,416405.4507933693,0.06618586393886715
1,27,2025-01-20T21:37:03.158,413949.0784157362,0.0657954340641874
1,28,2025-01-20T21:37:23.446,406013.08363725775,0.06453404166495923
1,29,2025-01-20T21:37:43.626,418367.7795441008,0.06649776769385352
1,30,2025-01-20T21:38:04.102,415907.6830011225,0.0661067458790338
1,31,2025-01-20T21:38:24.384,414592.8324363776,0.06589775601011556
1,32,2025-01-20T21:38:44.861,422351.41918816493,0.06713095016291379
1,33,2025-01-20T21:39:04.847,425948.6329718806,0.06770271189560582
1,34,2025-01-20T21:39:25.221,438154.99121016636,0.06964286028705699
1,35,2025-01-20T21:39:45.397,415239.84182532877,0.06600059538290162
1,36,2025-01-20T21:40:06.286,417467.8294903164,0.06635472448512975
1,37,2025-01-20T21:40:26.367,218152.97857337492,0.0346744821188251
1,38,2025-01-20T21:40:47.142,427629.47776650946,0.0679698749806896
1,39,2025-01-20T21:41:07.283,417127.01527036604,0.06630055352375763
1,40,2025-01-20T21:41:27.054,403245.2334633358,0.06409410372787092
1,41,2025-01-20T21:41:47.329,419572.69982084347,0.06668928461406126
1,42,2025-01-20T21:42:07.809,407355.259556664,0.06474737478203202
1,43,2025-01-20T21:42:28.184,403908.5779480557,0.06419953949420543
1,44,2025-01-20T21:42:48.556,406379.8291762185,0.06459233429848646
1,45,2025-01-20T21:43:08.635,392934.96826799517,0.062455331209181966
1,46,2025-01-20T21:43:28.900,410968.49121784867,0.06532168248778163
1,47,2025-01-20T21:43:49.370,419198.13309304736,0.06662974883604803
1,48,2025-01-20T21:44:09.647,403905.3464601107,0.06419902586302928
1,49,2025-01-20T21:44:30.122,401963.12173520913,0.0638903175568913
1,50,2025-01-20T21:44:50.694,410042.4100862174,0.06517448585609076
1,51,2025-01-20T21:45:10.871,395077.7718142203,0.06279592066037183
1,52,2025-01-20T21:45:31.145,403752.2757267141,0.0641746959251903
1,53,2025-01-20T21:45:51.517,407000.2175508579,0.06469094237500159
1,54,2025-01-20T21:46:11.792,403689.30306389485,0.0641646866899959
1,55,2025-01-20T21:46:32.267,409454.0043057068,0.06508096127600778
1,56,2025-01-20T21:46:52.746,410516.59652593784,0.06524985576088235
1,57,2025-01-20T21:47:12.826,412312.6169589773,0.06553532552067078
1,58,2025-01-20T21:47:32.999,408724.78505855106,0.06496505499816753
1,59,2025-01-20T21:47:53.476,406864.78155798465,0.06466941540368154
1,60,2025-01-20T21:48:13.755,403446.3868354276,0.064126076195308
1,61,2025-01-20T21:48:34.141,187050.57822064767,0.02973088871966166
1,62,2025-01-20T21:48:54.514,183800.87294329348,0.029214361976511234
1,63,2025-01-20T21:49:14.694,181173.97927177238,0.028796828472101275
1,64,2025-01-20T21:49:34.987,816785.3955902482,0.1298245422983564
1,65,2025-01-20T21:49:55.389,826399.2102157489,0.13135261698019488
1,66,2025-01-20T21:50:15.593,824240.0136249466,0.13100942192474152
1,67,2025-01-20T21:50:36.198,606929.978468002,0.09646892205365533
