# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:32:39.165
# DATE-END: 2025-01-20T21:32:40.229
# TSTART: 1737408759165.13
# TSTOP: 1737408760165.14
# DATE: 2025-01-20T21:32:42
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1718616458244
# DEC: 22.0154150456079
# EQUINOX: 2000.0
# CRVAL1: 84.1718616458244
# CRVAL2: 22.0154150456079
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000787253698251301
# CD1_2: 0.00164817748640776
# CD2_1: -0.00164775361037628
# CD2_2: -0.000786902310215419
# A_ORDER: 2
# A_0_2: -3.96511904305778e-07
# A_1_1: 3.83205689316852e-07
# A_2_0: -1.73082780637768e-07
# B_ORDER: 2
# B_0_2: 5.46281991258427e-07
# B_1_1: -3.80449766858748e-07
# B_2_0: 3.24924364346134e-07
# AP_ORDER: 2
# AP_0_0: 1.11607481869669e-06
# AP_0_1: -8.85058067014779e-07
# AP_0_2: 3.9651429167822e-07
# AP_1_0: 5.66591364483075e-07
# AP_1_1: -3.83202660804601e-07
# AP_2_0: 1.73080443508219e-07
# BP_ORDER: 2
# BP_0_0: -1.24209878347159e-06
# BP_0_1: 1.16797712438118e-06
# BP_0_2: -5.46284859853188e-07
# BP_1_0: -7.28656657900021e-07
# BP_1_1: 3.80444971758857e-07
# BP_2_0: -3.24921691486288e-07
# NOME_FILE: 20250120_213239.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_014.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
15,1191.534381842496,113.51541051239536,82.83611986814506,23.290035826456407,4.0,13.0,NO,55,64.70271941896064,65.24972804186939,71.70,1.00,65.24972804186939,71.70,1.00,14.081519632470632,27.28,1.19,3.5,NO,,INT_16,,,
16,1408.848304896624,115.16883505237622,82.65697610062121,22.92931881429238,8.0,21.0,NO,115,77.5022202442492,80.30077081019549,84.54,0.87,80.30077081019549,84.54,0.87,59.29203732922306,48.28,1.14,3.5,NO,,INT_15,,,
17,682.5279466836781,129.5169740365696,83.2956273874449,24.118445122573327,4.0,13.0,NO,31,56.53008462448696,58.065230089436,73.04,1.53,58.065230089436,73.04,1.53,15.63058964110451,20.09,1.66,3.5,NO,,INT_20,,,
18,1417.307678468293,140.97371246433104,82.69620287194581,22.895450956503968,7.0,13.0,NO,115,80.36420058550526,80.89615900256827,92.01,0.84,80.89615900256827,92.01,0.84,47.28465638028149,59.50,0.93,3.5,NO,,INT_19,,,
19,2291.245975613554,142.49233899978455,81.97652475654392,21.447071863398797,22.0,22.0,NO,114,204.62306809285343,197.06476334584423,199.33,1.25,197.64908218128733,199.50,1.27,182.84617686741467,181.62,1.27,3.5486870311913994,NO,,INT_17,,,
20,1913.0253237162865,143.48147450575303,82.28891866380364,22.0729089307756,12.0,15.0,NO,89,119.83748485183244,111.75472968196291,125.94,1.45,111.75472968196291,125.94,1.45,77.7968157328056,87.32,1.41,3.5,NO,,INT_18,,,
21,1621.9383009453068,162.7972460392269,82.56464984520032,22.540032265526413,93.0,118.0,NO,115,1502.684019293023,1389.4569530796207,1493.85,5.77,1410.9282742683488,1517.37,6.09,1400.626521871574,1486.86,5.59,6.186251507541851,NO,,INT_23,,,
22,2298.165104272303,159.14037414465523,82.000456558403,21.422887897534316,8.0,13.0,NO,81,82.08036855535443,83.07602953989819,99.80,1.39,83.07602953989819,99.80,1.39,50.51796522292206,67.95,1.64,3.5,NO,,INT_465,,,
23,116.09132508309392,165.90492907766264,83.84778992848557,25.02336091841601,35.0,32.0,NO,75,373.803247288348,354.23787345098924,385.38,2.95,356.8978508877208,389.65,3.15,329.7961618449028,362.42,2.81,4.32429109023857,NO,,INT_26,,,
24,2128.4230933992744,176.09895755523073,82.16970350125544,21.69113257442535,17.0,23.0,NO,115,177.7432509464137,168.0477057564918,150.11,1.41,168.0477057564918,150.11,1.41,140.90317405209683,124.32,1.30,3.5,NO,,INT_24,,,
25,2270.3055891793088,191.4141650867144,82.08060002749575,21.44437000654381,31.0,37.0,NO,114,333.84627424070874,318.3955437268252,327.78,1.83,319.55390772686167,328.96,1.89,314.8627004614445,315.36,1.81,3.7748441531003056,NO,,INT_25,,,
26,1303.3378593554514,200.2233010026588,82.89800581755705,23.03824336354077,10.0,18.0,NO,115,107.5311870334855,106.3236620393639,106.40,0.87,106.3236620393639,106.40,0.87,81.08636058789234,78.55,0.90,3.5,NO,,INT_29,,,
27,577.513790651284,207.5381122067228,83.52633424990117,24.23103629860515,4.0,13.0,NO,62,74.13782011682517,73.86845272845831,79.13,1.09,73.86845272845831,79.13,1.09,13.354588553268702,25.21,1.23,3.5,NO,,INT_31,,,
28,2217.065325414207,210.05462373410748,82.15735756107668,21.51829782153987,37.0,53.0,NO,115,440.0313137738372,416.0396569977146,430.06,2.07,418.387161050015,432.32,2.21,406.59684357583865,419.24,2.17,3.849925292502998,NO,,INT_28,,,
29,1074.2725523804952,229.04831862889256,83.14274647613831,23.394514392344345,19.0,25.0,NO,115,183.33464108890817,181.53235525083284,183.95,1.10,181.53235525083284,183.95,1.10,162.88823806623907,163.98,1.05,3.5,NO,,INT_35,,,
30,1635.614012477692,234.42273042343535,82.68140941298839,22.46225350059068,128.0,254.0,SI,115,3121.731422043227,2946.3412413747983,2998.77,7.12,2964.2342623824998,3046.05,7.28,3052.297428436478,3158.40,7.40,6.022450659912812,SI (Rank 1),I/239/hip_main,25806.0,82.6806152023,22.4622546563,6.29
31,2003.014778172207,231.51585397393256,82.37163073803286,21.856339834334133,10.0,18.0,NO,115,100.17923379481864,101.60038962315453,108.48,0.98,101.60038962315453,108.48,0.98,76.2115733627118,80.25,0.95,3.5,NO,,INT_32,,,
