# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:57:22.122
# DATE-END: 2025-01-20T21:57:23.181
# TSTART: 1737410242121.92
# TSTOP: 1737410243121.92
# DATE: 2025-01-20T21:57:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.170781012089
# DEC: 22.0159878940876
# EQUINOX: 2000.0
# CRVAL1: 84.170781012089
# CRVAL2: 22.0159878940876
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.0010330125068407
# CD1_2: 0.00150594349664325
# CD2_1: -0.00150578937258316
# CD2_2: -0.00103317584371109
# A_ORDER: 2
# A_0_2: -4.44537562550544e-08
# A_1_1: 1.48893315318093e-07
# A_2_0: -2.71736979663917e-07
# B_ORDER: 2
# B_0_2: -8.48010090227836e-09
# B_1_1: -2.44714237235804e-07
# B_2_0: 3.6253694902371e-07
# AP_ORDER: 2
# AP_0_0: 2.65146200133515e-06
# AP_0_1: -1.61250859088113e-07
# AP_0_2: 4.44528546633007e-08
# AP_1_0: 3.24705115448576e-07
# AP_1_1: -1.48889932672879e-07
# AP_2_0: 2.71731616407849e-07
# BP_ORDER: 2
# BP_0_0: -3.81771220592242e-06
# BP_0_1: 1.9624573404538e-07
# BP_0_2: 8.48089577582154e-09
# BP_1_0: -4.48220434880116e-07
# BP_1_1: 2.44709917903427e-07
# BP_2_0: -3.62529069419457e-07
# NOME_FILE: 20250120_215722.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
13,156.25663660687843,163.42627345167554,84.31510533955479,24.976354936868034,5.0,13.0,NO,58,79.66109995805523,81.89629426366814,661.84,51.80,81.89629426366814,704.57,55.97,44.24122021737909,564.59,47.76,3.5,NO,,INT_621,,,,81.9,704.57,55.97,3.5
14,1202.819718427875,167.98959025591603,83.14233870563369,23.394723096680764,19.0,29.0,NO,115,160.6472308304466,159.60306181958686,183.95,1.10,159.60306181958686,183.95,1.10,144.60130432969785,163.98,1.05,3.5,NO,,INT_35,,,,159.6,183.95,1.10,3.5
15,1433.6835992194417,175.0016721438453,82.89740601569973,23.03826122086935,7.0,16.0,NO,115,84.2673788826339,86.04155000384458,106.40,0.87,86.04155000384458,106.40,0.87,49.53229879422986,78.55,0.90,3.5,NO,,INT_29,,,,86.04,106.40,0.87,3.5
16,2177.557624948792,181.17484537723584,82.09066668095998,21.90389269878498,12.0,19.0,NO,115,117.49405027149768,118.44182661483674,142.19,1.41,118.44182661483674,142.19,1.41,94.53143170433596,117.45,1.37,3.5,NO,,INT_9,,,,118.44,142.19,1.41,3.5
17,1754.0460508413246,187.42430599991687,82.56421144660652,22.54023493623472,89.0,123.0,NO,115,1466.4334873531095,1370.247283407684,1493.85,5.77,1379.7437592345775,1517.37,6.09,1373.428413851277,1486.86,5.59,5.734171240493361,NO,,INT_23,,,,1379.74,1517.37,6.09,5.73
18,432.6764552342565,184.9394868860261,84.03616493032702,24.53887925771676,7.0,13.0,NO,84,89.13409416191087,87.04858454214101,106.20,1.37,87.04858454214101,106.20,1.37,41.05019437933608,63.07,1.58,3.5,NO,,INT_69,,,,87.05,106.20,1.37,3.5
19,461.1891895286554,201.672646991208,84.03151917101562,24.4787612129648,23.0,30.0,NO,115,231.9907162616981,227.5333245322631,250.32,1.77,227.9985964082128,251.13,1.86,215.84923037416928,225.54,1.62,3.5550949813305044,NO,,INT_71,,,,228.0,251.12,1.86,3.56
20,2436.2362025366315,209.2774272047436,81.85589448271361,21.4824913590964,28.0,41.0,NO,23,288.06593908424566,279.0385534153526,305.62,3.21,279.38096151266353,306.90,3.27,266.4562447086331,284.68,3.46,3.565921932472496,NO,,INT_673,,,,279.38,306.90,3.27,3.57
21,2044.623066819724,213.3630957399248,82.28827348363605,22.07310362054966,13.0,15.0,NO,89,123.04268852948567,121.65874114370088,125.94,1.45,121.65874114370088,125.94,1.45,94.32859665867524,87.32,1.41,3.5,NO,,INT_18,,,,121.66,125.94,1.45,3.5
22,2610.4808170233805,230.4956435315664,81.70236470213206,21.19624651406069,14.0,18.0,NO,104,153.53618071114795,129.68280743098316,142.50,1.19,129.68280743098316,142.50,1.19,104.72512934948206,115.21,1.21,3.5,NO,,INT_4,,,,129.68,142.50,1.19,3.5
