# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:58:43.759
# DATE-END: 2025-01-20T21:58:44.828
# TSTART: 1737410323758.55
# TSTOP: 1737410324758.55
# DATE: 2025-01-20T21:58:46
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1710227178297
# DEC: 22.0167264271701
# EQUINOX: 2000.0
# CRVAL1: 84.1710227178297
# CRVAL2: 22.0167264271701
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00105240289382108
# CD1_2: 0.00149238080659845
# CD2_1: -0.0014923545996968
# CD2_2: -0.00105256691040644
# A_ORDER: 2
# A_0_2: 5.20929223462192e-08
# A_1_1: 1.69783775804712e-07
# A_2_0: -2.87464319480992e-07
# B_ORDER: 2
# B_0_2: 7.59161786182059e-08
# B_1_1: -2.43629916474971e-07
# B_2_0: 3.81751370380197e-07
# AP_ORDER: 2
# AP_0_0: 1.32057312436373e-06
# AP_0_1: -1.12310029989378e-07
# AP_0_2: -5.20934599349827e-08
# AP_1_0: 3.39698583024335e-07
# AP_1_1: -1.69781657040008e-07
# AP_2_0: 2.87461324919105e-07
# BP_ORDER: 2
# BP_0_0: -1.17413335812463e-06
# BP_0_1: 2.63455827780238e-07
# BP_0_2: -7.59153056081315e-08
# BP_1_0: -4.89128262021898e-07
# BP_1_1: 2.43626796029043e-07
# BP_2_0: -3.8174821453958e-07
# NOME_FILE: 20250120_215843.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_091.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
1,293.2051793053787,16.184314574154783,83.95656022132493,24.925623432027948,6.0,10.0,NO,12,91.6469071033315,90.5966450268771,100.30,7.69,90.5966450268771,100.30,7.69,32.68304159074168,52.17,9.90,3.5,NO,,INT_643,,,,90.6,100.30,7.69,3.5
2,132.01750520408686,24.33775119029325,84.15707164626548,25.157111697565423,9.0,10.0,NO,51,107.99377822510564,104.96648255374645,110.79,2.30,104.96648255374645,110.82,2.30,68.08431025913407,67.47,2.82,3.5,NO,,INT_585,,,,104.97,110.82,2.30,3.5
3,2893.868416016457,23.86594786404464,81.04757533648757,21.010654246028658,8.0,12.0,NO,14,102.99994096715292,99.8139485851084,111.43,2.19,99.8139485851084,111.43,2.19,45.81737405312019,72.69,3.64,3.5,NO,,INT_676,,,,99.81,111.43,2.19,3.5
4,1689.513865797128,58.484357541828736,82.43430324578082,22.79048384645713,4.0,12.0,NO,107,66.55711279301111,67.43559565264258,79.82,1.07,67.43559565264258,79.82,1.07,15.877711064504254,37.68,1.27,3.5,NO,,INT_2,,,,67.44,79.82,1.07,3.5
5,1349.4915936917362,69.53277136329149,82.83514728222444,23.2898755423588,4.0,11.0,NO,55,58.5087723042714,59.97304079198353,71.70,1.00,59.97304079198353,71.70,1.00,15.249128992615438,27.28,1.19,3.5,NO,,INT_16,,,,59.97,71.70,1.00,3.5
6,547.0087368088887,75.48122051226154,83.76080520794973,24.48501915168523,6.0,12.0,NO,69,76.15720917054867,77.18961584007053,81.99,1.22,77.18961584007053,81.99,1.22,29.58728726125127,32.92,1.52,3.5,NO,,INT_42,,,,77.19,81.99,1.22,3.5
7,361.8228280282162,86.6930548234767,83.9930652972115,24.749499241368287,23.0,25.0,NO,103,228.4715581359822,221.9551835977373,267.35,1.88,221.9551835977373,268.49,1.95,203.5260227113511,246.70,1.69,3.577574128417048,NO,,INT_50,,,,221.96,268.49,1.95,3.58
8,2225.9249935770963,103.23925723298768,81.90940204811284,21.93686006851213,196.0,254.0,SI,92,7303.593607077186,7022.396825631884,7343.89,13.67,7050.5061063637695,7460.33,15.92,7287.270794162072,7810.47,18.48,7.122562489794452,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88,7142.06,7552.23,16.41,7.54
9,1562.9843867498948,107.97855654187384,82.65710395211336,22.929423339491663,5.0,15.0,NO,115,68.08248698766438,69.8592466122829,84.54,0.87,69.8592466122829,84.54,0.87,30.582489417480275,48.28,1.14,3.5,NO,,INT_15,,,,69.86,84.54,0.87,3.5
10,488.7694486679137,112.58803461388511,83.88888180724882,24.533090494896022,17.0,19.0,NO,113,156.59256884334397,153.81796076183892,177.86,1.48,153.81796076183892,178.01,1.50,137.99382004291903,152.27,1.48,3.5,NO,,INT_52,,,,153.82,178.01,1.50,3.5
