# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:02:36.899
# DATE-END: 2025-01-20T22:02:37.960
# TSTART: 1737410556898.91
# TSTOP: 1737410557898.92
# DATE: 2025-01-20T22:02:39
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1714472687462
# DEC: 22.0164324498336
# EQUINOX: 2000.0
# CRVAL1: 84.1714472687462
# CRVAL2: 22.0164324498336
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00111207545916005
# CD1_2: 0.00144831174695545
# CD2_1: -0.00144816567629971
# CD2_2: -0.00111228541953931
# A_ORDER: 2
# A_0_2: 5.45923149781226e-08
# A_1_1: -1.77098953070562e-07
# A_2_0: -3.50179034045973e-08
# B_ORDER: 2
# B_0_2: -3.43437117148274e-07
# B_1_1: -5.43594971492422e-08
# B_2_0: 1.79596756520831e-07
# AP_ORDER: 2
# AP_0_0: -1.85756428335478e-07
# AP_0_1: 7.98155021828167e-09
# AP_0_2: -5.4592873451772e-08
# AP_1_0: -1.28974411700507e-08
# AP_1_1: 1.770962667056e-07
# AP_2_0: 3.50191531774355e-08
# BP_ORDER: 2
# BP_0_0: 4.10697514811413e-08
# BP_0_1: 4.92159975585574e-09
# BP_0_2: 3.43431261970492e-07
# BP_1_0: -1.46684336183881e-09
# BP_1_1: 5.43648452456758e-08
# BP_2_0: -1.79594471209041e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_220236.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,flusso_fisso_max_run,raggio_fisso_max_run,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
6,1443.9711552125364,62.012081323101405,21.0,36.0,NO,212.13097816127527,,203.10494298856116,203.10494298856116,3.5,173.26612127110286,247.35,5.33,82.76738155202467,23.20976791889726,SI (Rank 1),II/389/ps1_dr2,1.3585082768103187e+17,82.76830105,23.20950418,8.9439
6,1443.9711552125364,62.012081323101405,21.0,36.0,NO,212.13097816127527,,203.10494298856116,203.10494298856116,3.5,173.26612127110286,247.35,5.33,82.76738155202467,23.20976791889726,SI (Rank 2),II/389/ps1_dr2,1.3585082768634314e+17,82.76864436,23.21078231,13.6659
6,1443.9711552125364,62.012081323101405,21.0,36.0,NO,212.13097816127527,,203.10494298856116,203.10494298856116,3.5,173.26612127110286,247.35,5.33,82.76738155202467,23.20976791889726,SI (Rank 3),II/389/ps1_dr2,1.3585082767525184e+17,82.76723654,23.209526,14.2662
7,1439.0252224510068,61.497562750526285,6.0,12.0,NO,75.03144072878979,,82.65515236345051,82.65515236345051,3.5,30.481523304279406,82.66,3.50,82.77247466762078,23.217544556296595,SI (Rank 1),II/389/ps1_dr2,1.3586082773029187e+17,82.77302711,23.21779673,10.442
7,1439.0252224510068,61.497562750526285,6.0,12.0,NO,75.03144072878979,,82.65515236345051,82.65515236345051,3.5,30.481523304279406,82.66,3.50,82.77247466762078,23.217544556296595,SI (Rank 2),II/389/ps1_dr2,1.3586082773231213e+17,82.77323264,23.2179671,11.1406
8,526.4194221908373,70.82650357402079,17.0,20.0,NO,164.09824134847076,,159.0616441587909,159.0616441587909,3.5,130.58806778224954,159.78,3.56,83.88883652289196,24.53337558302053,SI (Rank 1),II/389/ps1_dr2,1.3743083890257946e+17,83.8902643,24.53237552,9.3141
8,526.4194221908373,70.82650357402079,17.0,20.0,NO,164.09824134847076,,159.0616441587909,159.0616441587909,3.5,130.58806778224954,159.78,3.56,83.88883652289196,24.53337558302053,SI (Rank 2),II/389/ps1_dr2,1.374308389004292e+17,83.89010184,24.53223344,9.35
8,526.4194221908373,70.82650357402079,17.0,20.0,NO,164.09824134847076,,159.0616441587909,159.0616441587909,3.5,130.58806778224954,159.78,3.56,83.88883652289196,24.53337558302053,SI (Rank 3),II/389/ps1_dr2,1.3743083889324898e+17,83.88940505,24.53194589,10.7568
8,526.4194221908373,70.82650357402079,17.0,20.0,NO,164.09824134847076,,159.0616441587909,159.0616441587909,3.5,130.58806778224954,159.78,3.56,83.88883652289196,24.53337558302053,SI (Rank 4),II/389/ps1_dr2,1.374308388943096e+17,83.88955931,24.53242947,13.786
9,2933.301743109991,80.27973297772517,12.0,13.0,NO,131.07345502346564,,126.71808512491488,126.71808512491488,3.5,91.5771493033759,126.72,3.50,81.0461701511794,21.00985031363996,SI (Rank 1),II/389/ps1_dr2,1.3321081049033224e+17,81.04912442,21.01005789,12.6722
