# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:42:48.556
# DATE-END: 2025-01-20T21:42:49.615
# TSTART: 1737409368556.37
# TSTOP: 1737409369556.37
# DATE: 2025-01-20T21:42:51
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1726350508434
# DEC: 22.0156431541154
# EQUINOX: 2000.0
# CRVAL1: 84.1726350508434
# CRVAL2: 22.0156431541154
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000867041735151366
# CD1_2: 0.00160729595587048
# CD2_1: -0.00160680224493757
# CD2_2: -0.000867323286945354
# A_ORDER: 2
# A_0_2: -1.81131388821066e-07
# A_1_1: 1.77641583651105e-08
# A_2_0: -1.78589742390261e-07
# B_ORDER: 2
# B_0_2: 1.8943324673076e-07
# B_1_1: -1.20933323317195e-07
# B_2_0: 2.06738835481852e-07
# AP_ORDER: 2
# AP_0_0: 7.37024289894824e-07
# AP_0_1: -1.1917322463209e-07
# AP_0_2: 1.81131685739148e-07
# AP_1_0: 1.41656819804312e-07
# AP_1_1: -1.77638903179932e-08
# AP_2_0: 1.78588151446568e-07
# BP_ORDER: 2
# BP_0_0: -1.08648857753598e-06
# BP_0_1: 1.62865509885745e-07
# BP_0_2: -1.89433635248309e-07
# BP_1_0: -2.00712188876361e-07
# BP_1_1: 1.20932764317183e-07
# BP_2_0: -2.06736469452644e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_214248.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,flusso_fisso_max_run,raggio_fisso_max_run,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,615.4501944094729,11.672841239238638,30.0,31.0,NO,292.00518996411233,,275.1325191200865,275.1325191200865,3.824551093872055,256.03657919515496,277.22,3.93,83.26542566367543,24.365357621992157,SI (Rank 1),II/389/ps1_dr2,1.3723083266873832e+17,83.26694083,24.3649988,8.9123
1,615.4501944094729,11.672841239238638,30.0,31.0,NO,292.00518996411233,,275.1325191200865,275.1325191200865,3.824551093872055,256.03657919515496,277.22,3.93,83.26542566367543,24.365357621992157,SI (Rank 2),II/389/ps1_dr2,1.3723083266436814e+17,83.2665986,24.36473469,9.5747
2,131.66376845949728,11.900294421549454,11.0,16.0,NO,121.1359336668065,,112.09227562423588,112.09227562423588,3.5,75.56203416248108,112.09,3.50,83.72384190124488,25.142902512848767,SI (Rank 1),II/389/ps1_dr2,1.3816083725162998e+17,83.725042,25.14129523,10.2504
2,131.66376845949728,11.900294421549454,11.0,16.0,NO,121.1359336668065,,112.09227562423588,112.09227562423588,3.5,75.56203416248108,112.09,3.50,83.72384190124488,25.142902512848767,SI (Rank 2),II/389/ps1_dr2,1.3817083725013062e+17,83.72506181,25.14156041,10.515
2,131.66376845949728,11.900294421549454,11.0,16.0,NO,121.1359336668065,,112.09227562423588,112.09227562423588,3.5,75.56203416248108,112.09,3.50,83.72384190124488,25.142902512848767,SI (Rank 3),II/389/ps1_dr2,1.381708372470403e+17,83.72468825,25.14132851,12.0351
2,131.66376845949728,11.900294421549454,11.0,16.0,NO,121.1359336668065,,112.09227562423588,112.09227562423588,3.5,75.56203416248108,112.09,3.50,83.72384190124488,25.142902512848767,SI (Rank 4),II/389/ps1_dr2,1.3817083725443085e+17,83.7254921,25.1418768,14.255
2,131.66376845949728,11.900294421549454,11.0,16.0,NO,121.1359336668065,,112.09227562423588,112.09227562423588,3.5,75.56203416248108,112.09,3.50,83.72384190124488,25.142902512848767,SI (Rank 5),II/389/ps1_dr2,1.3817083725374029e+17,83.72558648,25.14132198,14.5124
2,131.66376845949728,11.900294421549454,11.0,16.0,NO,121.1359336668065,,112.09227562423588,112.09227562423588,3.5,75.56203416248108,112.09,3.50,83.72384190124488,25.142902512848767,SI (Rank 6),II/389/ps1_dr2,1.3816083725564978e+17,83.72547362,25.14103153,14.6337
3,267.3583770707382,13.394452080278516,13.0,14.0,NO,148.21130525102518,,134.63708828783854,134.63708828783854,3.5,85.544094470818,135.11,3.54,83.59747334356118,24.923703561181835,SI (Rank 1),II/389/ps1_dr2,1.3790083599334755e+17,83.5992781,24.92252123,9.258
3,267.3583770707382,13.394452080278516,13.0,14.0,NO,148.21130525102518,,134.63708828783854,134.63708828783854,3.5,85.544094470818,135.11,3.54,83.59747334356118,24.923703561181835,SI (Rank 2),II/389/ps1_dr2,1.3790083599103795e+17,83.5988808,24.92288911,10.0786
