# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:35:01.310
# DATE-END: 2025-01-20T21:35:02.369
# TSTART: 1737408901310.39
# TSTOP: 1737408902310.4
# DATE: 2025-01-20T21:35:04
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1727699264026
# DEC: 22.0166339101052
# EQUINOX: 2000.0
# CRVAL1: 84.1727699264026
# CRVAL2: 22.0166339101052
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000803422988965272
# CD1_2: 0.00164019083219718
# CD2_1: -0.0016395926470458
# CD2_2: -0.000803807991956343
# A_ORDER: 2
# A_0_2: 4.17935279649327e-08
# A_1_1: 1.27779560831428e-07
# A_2_0: -7.49389281811296e-08
# B_ORDER: 2
# B_0_2: 1.7389346407683e-07
# B_1_1: 3.88526721358382e-08
# B_2_0: 2.37806593819022e-07
# AP_ORDER: 2
# AP_0_0: 8.45328009901891e-07
# AP_0_1: 9.96731180323331e-09
# AP_0_2: -4.17942286241172e-08
# AP_1_0: 7.50923965097602e-08
# AP_1_1: -1.27779855155689e-07
# AP_2_0: 7.49376383927404e-08
# BP_ORDER: 2
# BP_0_0: 5.61397042660635e-07
# BP_0_1: 1.58927623132362e-07
# BP_0_2: -1.73894834645758e-07
# BP_1_0: -2.26732177208753e-08
# BP_1_1: -3.88561580664006e-08
# BP_2_0: -2.37806537985213e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_213501.fits
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_213501.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 6),II/389/ps1_dr2,1.3755083376786587e+17,83.37677923,24.62940479,14.9191
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 4),II/389/ps1_dr2,1.3755083379232416e+17,83.37903306,24.62800642,13.5827
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 1),I/239/hip_main,26062.0,83.3781644015,24.6288114583,6.97
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 2),II/389/ps1_dr2,1.3755083378194474e+17,83.37815738,24.62879541,7.628
4,421.7450919630486,35.96957412022845,81.0,112.0,NO,1527.6635896498244,,1453.7635075245337,1461.7541830839948,5.494392049138296,1469.9490266802368,83.37791674293028,24.629621964322045,SI (Rank 3),II/389/ps1_dr2,1.3755083377035368e+17,83.37702311,24.62761004,11.3974
5,1535.8244253289192,45.81045066788163,6.0,14.0,NO,77.85409568874339,,79.00573741509741,79.00573741509741,3.5,38.424110163993014,82.43484194898407,22.789870482171082,SI (Rank 1),II/389/ps1_dr2,1.3534082434927872e+17,82.43507272,22.79022534,11.494
6,576.9650996331857,48.5526305998742,25.0,31.0,NO,274.1206126490585,,255.76331919170906,255.76331919170906,3.5929816029649024,227.13211567924566,83.26514240415581,24.36496083940449,SI (Rank 1),II/389/ps1_dr2,1.3723083266873832e+17,83.26694083,24.3649988,8.9123
6,576.9650996331857,48.5526305998742,25.0,31.0,NO,274.1206126490585,,255.76331919170906,255.76331919170906,3.5929816029649024,227.13211567924566,83.26514240415581,24.36496083940449,SI (Rank 2),II/389/ps1_dr2,1.3723083266436814e+17,83.2665986,24.36473469,9.5747
7,748.9953579566801,48.28629432458508,7.0,11.0,NO,88.67986201900725,,86.37910675994276,86.37910675994276,3.5,34.534767660685965,83.11510386419893,24.08266043952862,SI (Rank 1),II/389/ps1_dr2,1.3690083116362059e+17,83.11634328,24.08330877,10.9697
7,748.9953579566801,48.28629432458508,7.0,11.0,NO,88.67986201900725,,86.37910675994276,86.37910675994276,3.5,34.534767660685965,83.11510386419893,24.08266043952862,SI (Rank 2),II/389/ps1_dr2,1.3690083117070082e+17,83.1168119,24.08356653,14.0949
8,229.3813716542162,64.3069633603344,13.0,17.0,NO,143.88190016744392,,132.66694907784628,132.66694907784628,3.5,84.22941832654956,83.59780529958215,24.922492042571246,SI (Rank 2),II/389/ps1_dr2,1.3790083599103797e+17,83.5988808,24.92288911,10.0786
8,229.3813716542162,64.3069633603344,13.0,17.0,NO,143.88190016744392,,132.66694907784628,132.66694907784628,3.5,84.22941832654956,83.59780529958215,24.922492042571246,SI (Rank 3),II/389/ps1_dr2,1.379008359869279e+17,83.59876272,24.92268792,10.392
8,229.3813716542162,64.3069633603344,13.0,17.0,NO,143.88190016744392,,132.66694907784628,132.66694907784628,3.5,84.22941832654956,83.59780529958215,24.922492042571246,SI (Rank 1),II/389/ps1_dr2,1.3790083599334757e+17,83.5992781,24.92252123,9.258
9,93.3352583741778,67.8770824770528,9.0,10.0,NO,111.44105632684318,,103.47753981047578,103.47753981047578,3.5,53.70326229234523,83.72408227778061,25.142445131231906,SI (Rank 3),II/389/ps1_dr2,1.381708372470403e+17,83.72468825,25.14132851,12.0351
9,93.3352583741778,67.8770824770528,9.0,10.0,NO,111.44105632684318,,103.47753981047578,103.47753981047578,3.5,53.70326229234523,83.72408227778061,25.142445131231906,SI (Rank 1),II/389/ps1_dr2,1.3816083725162998e+17,83.725042,25.14129523,10.2504
9,93.3352583741778,67.8770824770528,9.0,10.0,NO,111.44105632684318,,103.47753981047578,103.47753981047578,3.5,53.70326229234523,83.72408227778061,25.142445131231906,SI (Rank 4),II/389/ps1_dr2,1.3817083725443083e+17,83.7254921,25.1418768,14.255
9,93.3352583741778,67.8770824770528,9.0,10.0,NO,111.44105632684318,,103.47753981047578,103.47753981047578,3.5,53.70326229234523,83.72408227778061,25.142445131231906,SI (Rank 6),II/389/ps1_dr2,1.3816083725564978e+17,83.72547362,25.14103153,14.6337
9,93.3352583741778,67.8770824770528,9.0,10.0,NO,111.44105632684318,,103.47753981047578,103.47753981047578,3.5,53.70326229234523,83.72408227778061,25.142445131231906,SI (Rank 5),II/389/ps1_dr2,1.3817083725374029e+17,83.72558648,25.14132198,14.5124
9,93.3352583741778,67.8770824770528,9.0,10.0,NO,111.44105632684318,,103.47753981047578,103.47753981047578,3.5,53.70326229234523,83.72408227778061,25.142445131231906,SI (Rank 2),II/389/ps1_dr2,1.3817083725013062e+17,83.72506181,25.14156041,10.515
10,2048.4994800453387,71.85589006039045,15.0,22.0,NO,128.7545552387624,,125.92754144254558,125.92754144254558,3.5,107.6575693929737,82.04798704978967,21.924277709702398,SI (Rank 2),II/389/ps1_dr2,1.3430082049278886e+17,82.049128,21.923565,9.755
10,2048.4994800453387,71.85589006039045,15.0,22.0,NO,128.7545552387624,,125.92754144254558,125.92754144254558,3.5,107.6575693929737,82.04798704978967,21.924277709702398,SI (Rank 1),II/389/ps1_dr2,1.343008204889788e+17,82.04910888,21.9234782,9.4348
