# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:08:53.327
# DATE-END: 2025-01-20T22:08:54.386
# TSTART: 1737410933326.92
# TSTOP: 1737410934326.92
# DATE: 2025-01-20T22:08:56
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.1111648642204
# DEC: 21.9827454844592
# EQUINOX: 2000.0
# CRVAL1: 83.1111648642204
# CRVAL2: 21.9827454844592
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00131177031851621
# CD1_2: 0.00127009730986852
# CD2_1: -0.00126986812452313
# CD2_2: -0.0013127346666511
# A_ORDER: 2
# A_0_2: -3.0547658515953e-07
# A_1_1: 2.8170962592659e-07
# A_2_0: -3.07766508989695e-08
# B_ORDER: 2
# B_0_2: 3.95143913732217e-08
# B_1_1: 2.5345779743477e-07
# B_2_0: 1.61038312462324e-07
# AP_ORDER: 2
# AP_0_0: -4.02943027873655e-07
# AP_0_1: -1.17017065220524e-07
# AP_0_2: 3.05479161959724e-07
# AP_1_0: 5.39396898027525e-08
# AP_1_1: -2.817082653471e-07
# AP_2_0: 3.07760140682696e-08
# BP_ORDER: 2
# BP_0_0: 8.48617295012843e-07
# BP_0_1: 8.39482647815781e-08
# BP_0_2: -3.95127132248787e-08
# BP_1_0: 4.73469076347991e-08
# BP_1_1: -2.53460095633769e-07
# BP_2_0: -1.61040052425698e-07
# NOME_FILE: 20250120_220853.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_115.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
12,1073.2194231433332,114.5761077360078,82.51310459499315,23.75860433897702,53.0,71.0,NO,2,804.4452983304385,667.7981342555119,582.05,9.82,674.5097622757227,585.68,9.94,650.522650377246,566.17,10.56,4.56934263063917,NO,,INT_716,,,
13,1934.3889200048757,112.81548868705208,81.29176794733804,22.659309205087137,5.0,12.0,NO,3,73.30513184938178,73.83696560053225,448.69,11.14,73.83696560053225,451.34,11.24,35.47227442650122,434.54,12.18,3.5,NO,,INT_715,,,
14,1568.9916583290249,129.1011222706382,81.82910582990704,23.10670596922339,86.0,46.0,NO,3,1207.6636284608808,912.4430853638396,704.45,29.59,954.8569060460708,724.87,30.71,860.2029667082827,640.95,29.38,7.012249475501688,NO,,INT_717,,,
15,864.908512193871,128.32636831563494,82.830122641684,24.005531825411303,11.0,16.0,NO,3,130.57940252122,118.92272845366296,249.46,4.68,118.92272845366296,250.20,4.71,83.37187594790646,223.22,4.99,3.5,NO,,INT_719,,,
16,1647.361321611973,128.65509996744584,81.71778434909943,23.00693606816447,13.0,15.0,NO,3,156.67864368366878,132.28698307983845,139.99,2.99,132.28698307983845,141.20,3.06,88.80734484352789,104.04,3.32,3.5,NO,,INT_718,,,
17,1786.6221701433255,131.37995074412416,81.5252805262594,22.824887157899056,24.0,17.0,NO,3,252.61363582460828,225.6879700174344,139.99,2.99,229.5079340865976,141.20,3.06,187.3905479331368,104.04,3.32,4.923221541850823,NO,,INT_718,,,
18,2774.477450560034,132.00751756391168,80.14932866675528,21.551708800692708,8.0,13.0,NO,3,135.2617453537477,108.46099145975056,704.45,29.59,108.46099145975056,724.87,30.71,45.05846616596023,640.95,29.38,3.5,NO,,INT_717,,,
19,571.1883122795911,138.23571000144585,83.26590567601258,24.36489119089073,29.0,31.0,NO,49,338.3329441298439,297.3023188738372,276.23,2.39,297.71086787926123,276.96,2.39,271.6416015377372,254.03,2.00,3.8458523607639634,NO,,INT_8,,,
20,109.9118512575274,155.1664760817252,83.95677915402148,24.92443452460283,8.0,10.0,NO,72,123.62197734446296,107.42318390067484,97.99,1.29,107.42318390067484,97.99,1.29,42.25409891658577,47.69,1.68,3.5,NO,,INT_40,,,
21,1652.6559859974311,157.06941369105786,81.74982565318103,22.963195461055044,30.0,38.0,NO,3,388.5090186905098,322.84347739673115,249.46,4.68,322.84347739673115,250.20,4.71,295.26541291836776,223.22,4.99,3.763175220439228,NO,,INT_719,,,
22,2146.498943233456,174.26435497146204,81.08011483829475,22.306980711993543,32.0,38.0,NO,3,389.2674056512763,337.1008676542056,204.86,8.49,338.9110907882624,205.34,8.53,315.69556516270865,176.35,9.59,3.90628935447574,NO,,INT_720,,,
23,1380.501728430178,180.9207536684254,82.16810911055504,23.280176495305792,6.0,12.0,NO,3,112.16251824069818,98.99335107510812,204.86,8.49,98.99335107510812,205.34,8.53,36.43889936522381,176.35,9.59,3.5,NO,,INT_720,,,
24,1832.0522168807804,183.0312064232739,81.53316134231667,22.69951049538921,9.0,18.0,NO,3,117.55911239301317,107.9306530174794,88.05,1.54,107.9306530174794,88.05,1.54,58.82573789627736,43.36,1.94,3.5,NO,,INT_753,,,
25,732.8825187006457,197.14884974847536,83.11520918209506,24.082881310356395,8.0,11.0,NO,22,116.958146786863,103.1910358712999,87.39,1.65,103.1910358712999,87.39,1.65,45.303672545291256,35.92,2.01,3.5,NO,,INT_7,,,
26,876.2935525164843,228.47696291388928,82.9530220974072,23.85994599923113,14.0,17.0,NO,4,152.88469178417438,129.0242594306538,114.08,2.57,129.0242594306538,114.08,2.57,91.7368178669072,80.23,2.54,3.5,NO,,INT_566,,,
27,2220.923051813284,228.9455424665327,81.05209494244343,22.140389552014387,21.0,18.0,NO,3,215.1714982635936,180.9692926559788,166.63,2.57,180.9692926559788,167.11,2.64,143.22218328767224,138.64,2.31,3.5,NO,,INT_721,,,
28,163.2898105661775,237.36586620806355,83.99342003492742,24.749073936485416,30.0,28.0,NO,103,359.3512491878228,291.3716253933621,267.35,1.88,294.1550300190022,268.49,1.95,266.0845911045319,246.70,1.69,4.115582100866437,NO,,INT_50,,,
29,2976.177886927196,239.67135264487257,80.02091227474688,21.152256086611786,24.0,17.0,NO,3,270.9379153030091,225.70196337275223,166.63,2.57,227.29889651720853,167.11,2.64,183.25235010882324,138.64,2.31,4.102815666801299,NO,,INT_721,,,
30,654.6462802921156,246.2978432789913,83.29591685552349,24.11748908176775,3.0,10.0,NO,31,71.35332808262089,76.17136808870247,73.04,1.53,76.17136808870247,73.04,1.53,15.56357357189206,20.09,1.66,3.5,NO,,INT_20,,,
31,347.2020633025521,262.0210621097592,83.76118019693,24.48510663256587,10.0,12.0,NO,69,109.00517838263512,102.20721005859455,81.99,1.22,102.20721005859455,81.99,1.22,69.21017904463756,32.92,1.52,3.5,NO,,INT_42,,,
