# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:38:24.384
# DATE-END: 2025-01-20T21:38:25.443
# TSTART: 1737409104383.97
# TSTOP: 1737409105383.98
# DATE: 2025-01-20T21:38:27
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1735603968194
# DEC: 22.0169129400305
# EQUINOX: 2000.0
# CRVAL1: 84.1735603968194
# CRVAL2: 22.0169129400305
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000829262326911753
# CD1_2: 0.00162718300191856
# CD2_1: -0.00162661357277892
# CD2_2: -0.000829577175965003
# A_ORDER: 2
# A_0_2: -9.44343595530208e-08
# A_1_1: 8.23019614647906e-08
# A_2_0: -1.15080770945975e-07
# B_ORDER: 2
# B_0_2: 9.65064630668827e-08
# B_1_1: 2.33578604115078e-08
# B_2_0: 1.74983935702629e-07
# AP_ORDER: 2
# AP_0_0: 1.33646096471078e-07
# AP_0_1: -6.69017451909132e-08
# AP_0_2: 9.44345216055104e-08
# AP_1_0: 7.31002233309485e-08
# AP_1_1: -8.23015532925985e-08
# AP_2_0: 1.15080326000137e-07
# BP_ORDER: 2
# BP_0_0: -1.00852074957913e-07
# BP_0_1: 6.12841246098713e-08
# BP_0_2: -9.65065268337841e-08
# BP_1_0: -6.32201973183082e-08
# BP_1_1: -2.33583553991748e-08
# BP_2_0: -1.74983581665072e-07
# NOME_FILE: 20250120_213824.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_031.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
11,277.6979358027825,64.0380637773767,83.60495302606436,24.852914696458623,23.0,23.0,NO,57,237.0493261583852,210.79242741453612,239.64,3.10,212.196463779822,241.55,3.18,180.55477612249865,204.52,2.57,3.732940713296516,NO,,INT_13,,,,212.2,241.55,3.18,3.73
12,2063.928201053096,80.0732437360727,82.0483786420474,21.92404901289272,12.0,18.0,NO,114,127.78615545966564,124.36153031545912,121.66,1.07,124.36153031545912,121.66,1.07,102.08350092414156,94.49,1.19,3.5,NO,,INT_5,,,,124.36,121.66,1.07,3.5
13,2500.217433544048,97.31581218667552,81.70204368644754,21.195886164542287,17.0,19.0,NO,104,165.3696784245178,149.17476611593136,142.50,1.19,149.17476611593136,142.50,1.19,126.61040096700076,115.21,1.21,3.5,NO,,INT_4,,,,149.17,142.50,1.19,3.5
14,2324.5991505174284,98.73819022564724,81.85570054967681,21.482287827851668,32.0,35.0,NO,93,360.3190991018256,329.2585246591377,313.52,1.79,330.48326774211483,314.85,1.86,314.1063881808266,297.13,1.75,3.9155774727247934,NO,,INT_6,,,,330.48,314.85,1.86,3.92
15,1118.4856654546877,98.50419309290012,82.91152403979167,23.454763398354228,4.0,8.0,NO,14,75.82938597857891,75.81915376571696,109.49,6.18,75.81915376571696,109.49,6.18,8.94500801565526,79.64,9.33,3.5,NO,,INT_699,,,,75.82,109.49,6.18,3.5
16,2064.347057780598,104.40640938600367,82.09092710177393,21.903727644764245,15.0,17.0,NO,115,162.1607911374241,148.35110718833036,142.19,1.41,148.35110718833036,142.19,1.41,120.52329601662883,117.45,1.37,3.5,NO,,INT_9,,,,148.35,142.19,1.41,3.5
17,1216.5047395850756,104.97355146536032,82.8359970219394,23.289465755535243,6.0,12.0,NO,55,72.02257678001523,73.08301571962693,71.70,1.00,73.08301571962693,71.70,1.00,32.95073560638872,27.28,1.19,3.5,NO,,INT_16,,,,73.08,71.70,1.00,3.5
18,1433.3871935181865,112.21562264570876,82.65700991788609,22.929300547345683,5.0,15.0,NO,115,78.9869368247648,80.39253758559396,84.54,0.87,80.39253758559396,84.54,0.87,40.70640874953048,48.28,1.14,3.5,NO,,INT_15,,,,80.39,84.54,0.87,3.5
19,1910.461473609424,117.4880682444816,82.24791117144791,22.144961637546903,4.0,12.0,NO,166,73.2627858679461,73.20241069043489,89.35,1.03,73.20241069043489,89.35,1.03,14.667622252153697,49.03,1.30,3.5,NO,,INT_435,,,,73.2,89.35,1.03,3.5
20,139.7323961274228,129.43470632928634,83.84772225436447,25.023358561399384,36.0,33.0,NO,75,387.5200269858224,370.8109257503466,385.38,2.95,373.31952242410273,389.65,3.15,347.0876431190995,362.42,2.81,4.549923681001316,NO,,INT_26,,,,373.32,389.65,3.15,4.55
