# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:56:21.810
# DATE-END: 2025-01-20T21:56:22.872
# TSTART: 1737410181809.65
# TSTOP: 1737410182809.66
# DATE: 2025-01-20T21:56:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.171018225956
# DEC: 22.0153426090385
# EQUINOX: 2000.0
# CRVAL1: 84.171018225956
# CRVAL2: 22.0153426090385
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00101898092617102
# CD1_2: 0.00151543787359143
# CD2_1: -0.00151508884664351
# CD2_2: -0.00101932079327608
# A_ORDER: 2
# A_0_2: -3.81950330838845e-07
# A_1_1: 3.49973983808087e-08
# A_2_0: -1.76547527197494e-07
# B_ORDER: 2
# B_0_2: -1.16368920810246e-07
# B_1_1: -2.22674839809904e-07
# B_2_0: 2.02736904349513e-07
# AP_ORDER: 2
# AP_0_0: 7.57964844192808e-07
# AP_0_1: -1.01115363151856e-07
# AP_0_2: 3.81945941038647e-07
# AP_1_0: 2.14673115874072e-07
# AP_1_1: -3.50002262886748e-08
# AP_2_0: 1.7654764287002e-07
# BP_ORDER: 2
# BP_0_0: -4.32531587464998e-07
# BP_0_1: 1.20431675882854e-07
# BP_0_2: 1.1636654183639e-07
# BP_1_0: -2.05782793967541e-07
# BP_1_1: 2.22675552651056e-07
# BP_2_0: -2.02734943188668e-07
# NOME_FILE: 20250120_215621.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_084.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
15,613.2392574254361,158.18567945469016,83.76453622783539,24.29112003838994,88.0,156.0,NO,115,1800.3345241452007,1707.599015914266,1748.42,5.28,1726.802908150246,1766.36,5.73,1759.3047435041335,1791.64,6.72,5.554441400794095,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82
16,1194.7766213370514,171.02155304351143,83.14274791589473,23.394914759903745,19.0,33.0,NO,115,169.1055190721858,167.97531531271673,183.95,1.10,167.97531531271673,183.95,1.10,157.12919332351365,163.98,1.05,3.5,NO,,INT_35,,,
17,2169.5362893206866,175.46459772417464,82.0913950661698,21.90396931407157,14.0,22.0,NO,115,122.77296585591832,122.6093841045014,142.19,1.41,122.6093841045014,142.19,1.41,104.88471975082284,117.45,1.37,3.5,NO,,INT_9,,,
18,1425.7001321472112,175.975333820249,82.89795283790934,23.03837601090909,7.0,18.0,NO,115,81.38667845488786,83.59667098610996,106.40,0.87,83.59667098610996,106.40,0.87,49.83252675708117,78.55,0.90,3.5,NO,,INT_29,,,
19,148.50272203332037,176.4775761247301,84.31518596858479,24.975732988308167,4.0,11.0,NO,81,76.29088857985985,76.24586017823252,94.24,1.18,76.24586017823252,94.24,1.18,13.385328951978416,43.96,1.62,3.5,NO,,INT_76,,,
20,1746.1905576942931,185.4859156848256,82.56477029922056,22.54026993300966,89.0,105.0,NO,115,1453.5826395812742,1365.5650575466846,1493.85,5.77,1384.1483432649036,1517.37,6.09,1374.714389450017,1486.86,5.59,5.877860780038903,NO,,INT_23,,,
21,424.7939032358621,194.79587237893256,84.03575890722404,24.539359955706534,6.0,15.0,NO,16,79.1544508264702,81.22312482599384,99.87,3.67,81.22312482599384,99.87,3.67,42.29756201754685,53.91,4.25,3.5,NO,,INT_650,,,
22,2428.4322812996343,201.0695024094822,81.85631546906183,21.482719799833923,29.0,33.0,NO,1,312.0697345372932,281.01964924172574,235.47,8.55,284.24785862137537,236.22,8.59,280.1226921846459,205.42,9.88,3.8237545685698886,NO,,INT_912,,,
23,2036.994762873674,208.79981917008357,82.28883172451944,22.07307568857179,10.0,17.0,NO,18,118.43802406644224,116.39015492356468,94.26,2.44,116.39015492356468,94.26,2.44,77.57185194928125,55.08,2.33,3.5,NO,,INT_671,,,
24,453.54436144959845,211.55919676274024,84.031522081105,24.478794135351603,23.0,27.0,NO,115,235.2243694427304,225.00334048681293,250.32,1.77,225.00334048681293,251.13,1.86,200.4375791684645,225.54,1.62,3.5,NO,,INT_71,,,
25,2603.066747314615,220.63658428030368,81.7023686975073,21.196206554457984,11.0,18.0,NO,104,124.03812768097872,124.23770263517928,142.50,1.19,124.23770263517928,142.50,1.19,91.4452394857547,115.21,1.21,3.5,NO,,INT_4,,,
26,3000.1859243903705,226.5152590295592,81.29172788190968,20.582883356944624,82.0,89.0,NO,103,1547.265954165499,1502.2565122780666,1668.65,7.07,1512.232933942274,1692.11,7.91,1515.2500138068797,1719.69,9.63,5.945040580397752,SI (Rank 1),I/239/hip_main,25337.0,81.2932321018,20.5837266364,6.75
27,251.6642584190868,246.3261316406788,84.31565294543758,24.748671322347622,3.0,8.0,NO,65,70.69701947581716,70.95132309485138,82.73,1.28,70.95132309485138,82.73,1.28,13.139097320493711,24.93,1.55,3.5,NO,,INT_86,,,
28,1749.3531702861862,258.3604456384946,82.68157215285324,22.462259003824343,116.0,254.0,SI,115,3154.0815912525104,2981.8911364507053,2998.77,7.12,3000.659252375123,3046.05,7.28,3105.668674825475,3158.40,7.40,5.6796492962903935,SI (Rank 1),I/239/hip_main,25806.0,82.6806152023,22.4622546563,6.29
29,705.851916756431,255.97907430783405,83.82408484105504,24.0514617902104,12.0,23.0,NO,93,125.04211242963336,125.32672721879575,146.45,1.14,125.32672721879575,146.45,1.14,102.46219627840816,117.45,1.10,3.5,NO,,INT_72,,,
30,2411.299358299793,263.0718620705379,81.9763849058174,21.44705342724469,20.0,28.0,NO,114,207.1707152611516,203.5827330156427,199.33,1.25,203.5827330156427,199.50,1.27,190.03475567301135,181.62,1.27,3.5,NO,,INT_17,,,
31,699.8720492301715,276.0616978702008,83.86408688030969,24.040127902385397,178.0,254.0,SI,115,5477.315316592991,5232.188205825719,5241.07,8.64,5289.302824962617,5300.85,9.52,5537.0969007233525,5539.87,11.57,7.181925486771296,SI (Rank 1),I/239/hip_main,26248.0,83.8630420877,24.0395887842,5.37
32,2245.2682169218497,272.51200323771974,82.16967532633512,21.691267999634224,14.0,19.0,NO,115,136.54547048363486,134.90896041013775,150.11,1.41,134.90896041013775,150.11,1.41,108.44431987119732,124.32,1.30,3.5,NO,,INT_24,,,
33,480.5172324561655,280.29793241376166,84.1157289734899,24.3680167184152,60.0,78.0,NO,115,862.2735984436507,799.5673457118921,854.45,4.44,804.1332677353914,874.55,6.12,794.4025958855301,857.56,6.72,4.859793088602377,NO,,INT_85,,,
34,1793.4315107929265,280.17589776619815,82.66971313908661,22.373129860267863,29.0,41.0,NO,115,298.9993970735127,288.17744682578075,295.10,1.36,288.17744682578075,295.65,1.42,275.4750991040159,278.10,1.42,3.5,NO,,INT_37,,,
35,2415.8019623534947,280.41928988039933,82.00003488581278,21.42285544267001,5.0,14.0,NO,81,69.57279643853863,71.99962845954965,99.80,1.39,71.99962845954965,99.80,1.39,41.57692449491473,67.95,1.64,3.5,NO,,INT_465,,,
36,1420.451820699961,285.92932570132405,83.08549985069344,22.935560257813936,16.0,22.0,NO,115,150.74424378939233,150.509470850379,154.10,0.98,150.509470850379,154.10,0.98,127.0435207494665,131.01,0.85,3.5,NO,,INT_49,,,
37,1228.172337159678,286.3566116880688,83.29704624231744,23.22764733272285,9.0,17.0,NO,114,82.41217232373518,84.25759792108997,95.36,0.89,84.25759792108997,95.36,0.89,66.05314854595646,65.00,0.82,3.5,NO,,INT_56,,,
38,1150.1374818405925,290.3157144520795,83.38943549310217,23.342270620565404,27.0,47.0,NO,115,300.797962450548,288.2445415602604,306.20,1.24,288.2445415602604,307.07,1.31,278.1194592471086,294.60,1.30,3.5,NO,,INT_61,,,
39,1101.8673966759825,299.65247597015764,83.4580696132199,23.40617172325448,9.0,18.0,NO,115,92.87871774176668,92.7219064099033,100.21,0.95,92.7219064099033,100.21,0.95,65.98202745192773,69.54,0.92,3.5,NO,,INT_64,,,
40,1274.2956758691948,301.81655406561134,83.27195294555904,23.14188623371996,45.0,86.0,NO,115,755.2293728526249,705.4044834970822,775.86,2.79,710.1057664940674,786.27,2.98,698.0653201781806,784.57,2.88,4.155066036962331,NO,,INT_57,,,
41,2383.5585044553936,308.52667560262967,82.08062287722876,21.44404072479719,29.0,40.0,NO,114,313.69284443145534,297.13447169239294,327.78,1.83,297.41902170188104,328.96,1.89,281.3834905784421,315.36,1.81,3.5568818922106,NO,,INT_25,,,
