# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:03:38.140
# DATE-END: 2025-01-20T22:03:39.199
# TSTART: 1737410618140.37
# TSTOP: 1737410619140.37
# DATE: 2025-01-20T22:03:40
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.172643010976
# DEC: 22.0176112243481
# EQUINOX: 2000.0
# CRVAL1: 84.172643010976
# CRVAL2: 22.0176112243481
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00112870724003616
# CD1_2: 0.0014354068743461
# CD2_1: -0.00143528081275385
# CD2_2: -0.00112899912115735
# A_ORDER: 2
# A_0_2: 6.26034972351279e-08
# A_1_1: -1.57259713913456e-07
# A_2_0: -1.71874755531413e-08
# B_ORDER: 2
# B_0_2: -4.75023554590888e-07
# B_1_1: -6.44106491784316e-08
# B_2_0: 1.96856635981309e-07
# AP_ORDER: 2
# AP_0_0: -3.17127208743218e-07
# AP_0_1: -1.05034028271743e-08
# AP_0_2: -6.2603147051727e-08
# AP_1_0: -1.20887274059112e-08
# AP_1_1: 1.57256578428708e-07
# AP_2_0: 1.71886833131375e-08
# BP_ORDER: 2
# BP_0_0: 1.2437050077511e-06
# BP_0_1: 9.46405726064495e-08
# BP_0_2: 4.75008974027502e-07
# BP_1_0: 1.78024480714439e-08
# BP_1_1: 6.44168941311145e-08
# BP_2_0: -1.96853414497308e-07
# NOME_FILE: 20250120_220338.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_105.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
1,2067.457704882002,11.486160864081423,81.95280427701891,22.379187841920825,4.0,12.0,NO,17,68.45490186878988,69.46640487212177,291.47,43.90,69.46640487212177,292.79,44.17,15.7197932680472,270.28,48.28,3.5,NO,,INT_692,,,,69.47,292.79,44.17,3.5
2,2473.756170963241,13.95464896532014,81.47290643801554,21.786222286754192,30.0,33.0,NO,17,320.4593965021748,312.5508509859223,207.18,27.56,313.4500274016056,207.65,27.67,297.8366101453781,183.38,29.60,3.867053615049452,NO,,INT_695,,,,313.45,207.65,27.67,3.87
3,1841.688034051112,13.063212491178936,82.22601740472308,22.704893027649,7.0,18.0,NO,1,86.84307824115416,88.39733336727694,69.65,2.55,88.39733336727694,69.65,2.55,52.19731601817356,23.32,3.51,3.5,NO,,INT_964,,,,88.4,69.64,2.55,3.5
4,412.92076821692126,26.492128062080937,83.99224525534265,24.75023009134853,26.0,25.0,NO,17,276.130560480139,264.4322630731257,195.12,19.18,266.07197079785163,195.90,19.34,249.86039711043944,166.52,20.95,3.866438432675374,NO,,INT_684,,,,266.07,195.90,19.34,3.87
5,598.3256762468394,24.67737458020536,83.75985078744618,24.486284519855623,3.0,11.0,NO,1,62.54999789104203,65.59609210503892,148.34,2.72,65.59609210503892,148.42,2.74,13.331401259826473,103.44,2.96,3.5,NO,,INT_965,,,,65.6,148.42,2.74,3.5
6,2290.982513519481,36.84915852510035,81.72586233388813,22.026568651545404,10.0,15.0,NO,27,111.95814113861869,111.46419692809572,287.16,53.82,111.46419692809572,289.61,54.68,82.14119043772295,260.22,54.22,3.5,NO,,INT_683,,,,111.46,289.61,54.68,3.5
7,538.4450909310244,59.36074159724868,83.88870042961739,24.53323350801185,17.0,23.0,NO,113,188.2963997922327,179.9613894106736,177.86,1.48,179.9613894106736,178.01,1.50,153.77688624528616,152.27,1.48,3.5,NO,,INT_52,,,,179.96,178.01,1.50,3.5
8,1451.1769772273876,59.82749936593756,82.7711522834792,23.21810603448332,6.0,13.0,NO,22,75.54174311382612,81.16177734974558,86.50,2.03,81.16177734974558,86.50,2.03,32.98398634414188,33.89,2.27,3.5,NO,,INT_654,,,,81.16,86.50,2.03,3.5
9,1455.9044089159263,61.07516410765891,82.76738112487905,23.20988175840895,22.0,36.0,NO,145,213.407404373644,205.99807836621187,206.35,3.95,205.99807836621187,208.12,4.07,192.3379230704113,183.07,5.29,3.5,NO,,INT_450,,,,206.0,208.12,4.07,3.5
10,1740.1810207494666,67.82702862479462,82.43425910657118,22.79109631379568,6.0,13.0,NO,107,69.09010464478507,70.40104749545976,79.82,1.07,70.40104749545976,79.82,1.07,36.13185550777608,37.68,1.27,3.5,NO,,INT_2,,,,70.4,79.82,1.07,3.5
11,216.3024603660977,75.83294396785938,84.31472062972703,24.97611055564692,7.0,12.0,NO,29,86.87598002435017,84.58277952136412,449.40,15.46,84.58277952136412,451.93,15.58,50.853378678305454,441.62,17.10,3.5,NO,,INT_679,,,,84.58,451.93,15.58,3.5
12,681.218723293072,92.20048383411584,83.76415875542715,24.291355023648723,86.0,167.0,NO,115,1846.935632167956,1757.2359120713634,1748.42,5.28,1773.285411487045,1766.36,5.73,1811.025471402009,1791.64,6.72,5.403541442688455,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82,1816.16,1797.70,5.52,6.01
13,2945.111516092194,96.12340268393012,81.04545936186854,21.00996829832436,8.0,12.0,NO,24,111.510781481196,105.30725665530343,125.70,4.15,105.30725665530343,125.93,4.19,45.22635071895953,90.90,5.40,3.5,NO,,INT_688,,,,105.31,125.93,4.19,3.5
14,1611.4854959273466,110.4897952965667,82.65665516039475,22.929846338216933,4.0,12.0,NO,115,68.20812169044399,70.04175278622368,84.54,0.87,70.04175278622368,84.54,0.87,17.383882458283416,48.28,1.14,3.5,NO,,INT_15,,,,70.04,84.54,0.87,3.5
15,490.58885004135175,114.90807624431773,84.03569003691555,24.539331051959195,11.0,15.0,NO,16,109.70131915929326,108.53699337474876,99.87,3.67,108.53699337474876,99.87,3.67,74.51663217768483,53.91,4.25,3.5,NO,,INT_650,,,,108.54,99.87,3.67,3.5
16,517.9150761839905,133.7894665363481,84.03164837456396,24.478886885137165,22.0,31.0,NO,115,256.45010838111693,247.340037083103,250.32,1.77,247.340037083103,251.13,1.86,219.05605989013029,225.54,1.62,3.5,NO,,INT_71,,,,247.34,251.12,1.86,3.5
17,2273.7469655416403,140.6644530278894,81.90894861999168,21.936715760948527,195.0,254.0,SI,92,7287.2585526172115,7014.019679912486,7343.89,13.67,7071.526277183648,7460.33,15.92,7345.865863486331,7810.47,18.48,7.29350158087467,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88,7119.56,7552.23,16.41,7.54
18,1614.161214640775,137.18583057465983,82.69535023262975,22.896223606583973,8.0,15.0,NO,115,78.49624068897633,79.03041269973393,92.01,0.84,79.03041269973393,92.01,0.84,59.01391327003978,59.50,0.93,3.5,NO,,INT_19,,,,79.03,92.01,0.84,3.5
19,1260.3088257363183,148.3505065177295,83.14249702082222,23.39482194943197,18.0,30.0,NO,115,193.9903807573349,173.46843294582118,183.95,1.10,173.46843294582118,183.95,1.10,163.32076655144996,163.98,1.05,3.5,NO,,INT_35,,,,173.47,183.95,1.10,3.5
20,314.3063216718496,153.3324172480609,84.31519169035349,24.74844353424545,3.0,9.0,NO,65,63.32671240198763,67.86718693405744,82.73,1.28,67.86718693405744,82.73,1.28,14.113043985985938,24.93,1.55,3.5,NO,,INT_86,,,,67.87,82.73,1.28,3.5
21,1489.9534256078089,170.35666387583098,82.89787011768743,23.03873444762896,11.0,22.0,NO,115,99.7292847150792,100.47580790552762,106.40,0.87,100.47580790552762,106.40,0.87,84.7044546514836,78.55,0.90,3.5,NO,,INT_29,,,,100.48,106.40,0.87,3.5
22,1220.3277831204637,172.30911510305117,83.22892846214134,23.425663624371182,3.0,12.0,NO,29,55.731106532509685,56.0,69.99,1.02,56.0,69.99,1.02,16.735136539382655,22.44,1.11,3.5,NO,,INT_41,,,,56.0,69.99,1.02,3.5
23,2961.5351406948707,192.6687824046772,81.1766340500425,20.87987518732865,13.0,14.0,NO,24,138.9801802469159,135.09519822760765,125.70,4.15,135.09519822760765,125.93,4.19,98.50164544237192,90.90,5.40,3.5,NO,,INT_688,,,,135.1,125.93,4.19,3.5
24,766.238700215252,196.5507689706484,83.82385136159823,24.05190432159707,14.0,23.0,NO,22,141.3204412612372,138.64427161916498,135.31,3.72,138.64427161916498,135.35,3.75,111.78904393533227,105.20,4.51,3.5,NO,,INT_651,,,,138.64,135.35,3.75,3.5
