# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:53:18.943
# DATE-END: 2025-01-20T21:53:19.008
# TSTART: 1737409998942.66
# TSTOP: 1737409999942.66
# DATE: 2025-01-20T21:53:22
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.171150941519
# DEC: 22.0160744707074
# EQUINOX: 2000.0
# CRVAL1: 84.171150941519
# CRVAL2: 22.0160744707074
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000979188217411929
# CD1_2: 0.00154143299390199
# CD2_1: -0.00154098518533185
# CD2_2: -0.000979515785258669
# A_ORDER: 2
# A_0_2: -2.84776711340428e-07
# A_1_1: 1.16327097866078e-08
# A_2_0: -1.70017346966502e-07
# B_ORDER: 2
# B_0_2: -2.58188587760023e-07
# B_1_1: -3.19873923389085e-07
# B_2_0: 1.93280255518035e-07
# AP_ORDER: 2
# AP_0_0: 1.83880430698243e-06
# AP_0_1: -4.25218245740919e-09
# AP_0_2: 2.84771177810052e-07
# AP_1_0: 1.91387986851674e-07
# AP_1_1: -1.16340952443629e-08
# AP_2_0: 1.70016456968392e-07
# BP_ORDER: 2
# BP_0_0: 2.99265254651478e-08
# BP_0_1: 1.99573732198932e-07
# BP_0_2: 2.58182953398462e-07
# BP_1_0: -1.40953547288863e-07
# BP_1_1: 3.19871049922541e-07
# BP_2_0: -1.93277235659883e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_215318.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,flusso_fisso_max_run,raggio_fisso_max_run,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,796.3050743129725,34.65627513735481,3.0,11.0,NO,61.81435104900552,,66.24740555692776,66.24740555692776,3.5,16.772948636298594,66.25,3.50,83.29517105296446,24.118715061781185,SI (Rank 1),II/389/ps1_dr2,1.3694083297410194e+17,83.29737638,24.11790281,9.1736
1,796.3050743129725,34.65627513735481,3.0,11.0,NO,61.81435104900552,,66.24740555692776,66.24740555692776,3.5,16.772948636298594,66.25,3.50,83.29517105296446,24.118715061781185,SI (Rank 2),II/389/ps1_dr2,1.3694083297173246e+17,83.29712759,24.11818564,10.439
1,796.3050743129725,34.65627513735481,3.0,11.0,NO,61.81435104900552,,66.24740555692776,66.24740555692776,3.5,16.772948636298594,66.25,3.50,83.29517105296446,24.118715061781185,SI (Rank 3),II/389/ps1_dr2,1.3694083296811197e+17,83.29673821,24.11777686,12.651
1,796.3050743129725,34.65627513735481,3.0,11.0,NO,61.81435104900552,,66.24740555692776,66.24740555692776,3.5,16.772948636298594,66.25,3.50,83.29517105296446,24.118715061781185,SI (Rank 4),II/389/ps1_dr2,1.3694083297626291e+17,83.29762401,24.11858287,14.3214
2,1643.144634285106,52.163594542406415,6.0,15.0,NO,74.04270031682846,,75.74186952888051,75.74186952888051,3.5,35.79537563713142,75.74,3.50,82.43390705355456,22.790278267484865,SI (Rank 1),II/389/ps1_dr2,1.3534082434927872e+17,82.43507272,22.79022534,11.494
2,1643.144634285106,52.163594542406415,6.0,15.0,NO,74.04270031682846,,75.74186952888051,75.74186952888051,3.5,35.79537563713142,75.74,3.50,82.43390705355456,22.790278267484865,SI (Rank 2),II/389/ps1_dr2,1.3535082434454275e+17,82.43446892261,22.7935206519,14.6767
3,2870.3848681369564,54.16931578373695,18.0,13.0,NO,178.25435153586812,,156.66819098496197,160.13163825154194,3.869489284392777,129.53174463991235,160.18,3.87,81.17782345121319,20.88046217913386,SI (Rank 1),II/389/ps1_dr2,1.330508118010871e+17,81.17980065,20.88039458,9.0389
4,2180.74444671517,71.15642889387516,207.0,254.0,SI,7267.834515789988,,6962.057184341384,7031.905897325514,7.453322225054545,7330.939739791353,7049.57,7.54,81.90942199111788,21.93707423407964,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88
4,2180.74444671517,71.15642889387516,207.0,254.0,SI,7267.834515789988,,6962.057184341384,7031.905897325514,7.453322225054545,7330.939739791353,7048.37,7.53,81.90942199111788,21.93707423407964,SI (Rank 2),II/389/ps1_dr2,1.3432081907275656e+17,81.90725358,21.93831501,12.5648
4,2180.74444671517,71.15642889387516,207.0,254.0,SI,7267.834515789988,,6962.057184341384,7031.905897325514,7.453322225054545,7330.939739791353,7049.57,7.54,81.90942199111788,21.93707423407964,SI (Rank 3),II/389/ps1_dr2,1.3432081910418306e+17,81.91036189,21.93565615,12.5649
