# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:37:43.626
# DATE-END: 2025-01-20T21:37:44.690
# TSTART: 1737409063625.89
# TSTOP: 1737409064625.89
# DATE: 2025-01-20T21:37:47
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1733046164438
# DEC: 22.0163726375857
# EQUINOX: 2000.0
# CRVAL1: 84.1733046164437
# CRVAL2: 22.0163726375857
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000823952554233998
# CD1_2: 0.00163006866303868
# CD2_1: -0.00162934816222763
# CD2_2: -0.000824222157694307
# A_ORDER: 2
# A_0_2: -1.10719223858736e-08
# A_1_1: 5.02180551224707e-08
# A_2_0: -1.14251319948562e-07
# B_ORDER: 2
# B_0_2: -1.74386829229943e-07
# B_1_1: 1.57928828373936e-07
# B_2_0: 1.12853969911918e-07
# AP_ORDER: 2
# AP_0_0: 2.43154528156708e-07
# AP_0_1: -7.62111579091542e-09
# AP_0_2: 1.10719134542629e-08
# AP_1_0: 4.49359970354316e-08
# AP_1_1: -5.02178453804632e-08
# AP_2_0: 1.14250797456932e-07
# BP_ORDER: 2
# BP_0_0: -1.33224823202956e-07
# BP_0_1: 2.16727022019773e-08
# BP_0_2: 1.74386464460073e-07
# BP_1_0: -4.04885358764313e-08
# BP_1_1: -1.57927889378883e-07
# BP_2_0: -1.12853741140889e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_213743.fits
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_213743.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
1,2085.017603346964,11.684182737018755,207.0,254.0,SI,7495.565749863596,,7187.73217331041,7250.9747363557235,7.365836206037426,7549.162696171534,81.90857247374602,21.93731681841156,SI (Rank 2),II/389/ps1_dr2,1.3432081907275656e+17,81.90725358,21.93831501,12.5648
1,2085.017603346964,11.684182737018755,207.0,254.0,SI,7495.565749863596,,7187.73217331041,7250.9747363557235,7.365836206037426,7549.162696171534,81.90857247374602,21.93731681841156,SI (Rank 3),II/389/ps1_dr2,1.3432081910418306e+17,81.91036189,21.93565615,12.5649
1,2085.017603346964,11.684182737018755,207.0,254.0,SI,7495.565749863596,,7187.73217331041,7250.9747363557235,7.365836206037426,7549.162696171534,81.90857247374602,21.93731681841156,SI (Rank 4),II/389/ps1_dr2,1.3432081910177331e+17,81.91011058,21.93567743,12.6813
1,2085.017603346964,11.684182737018755,207.0,254.0,SI,7495.565749863596,,7187.73217331041,7250.9747363557235,7.365836206037426,7549.162696171534,81.90857247374602,21.93731681841156,SI (Rank 1),I/239/hip_main,25539.0,81.9086880855,21.9369652733,4.88
2,434.22881186484375,22.081244189294043,84.0,105.0,NO,1576.130084625182,,1498.39563974585,1507.4620421792092,5.516172393968779,1515.359398667891,83.37784046177367,24.629795756484942,SI (Rank 2),II/389/ps1_dr2,1.3755083378194474e+17,83.37815738,24.62879541,7.628
2,434.22881186484375,22.081244189294043,84.0,105.0,NO,1576.130084625182,,1498.39563974585,1507.4620421792092,5.516172393968779,1515.359398667891,83.37784046177367,24.629795756484942,SI (Rank 3),II/389/ps1_dr2,1.3755083377035368e+17,83.37702311,24.62761004,11.3974
2,434.22881186484375,22.081244189294043,84.0,105.0,NO,1576.130084625182,,1498.39563974585,1507.4620421792092,5.516172393968779,1515.359398667891,83.37784046177367,24.629795756484942,SI (Rank 4),II/389/ps1_dr2,1.3755083379232416e+17,83.37903306,24.62800642,13.5827
2,434.22881186484375,22.081244189294043,84.0,105.0,NO,1576.130084625182,,1498.39563974585,1507.4620421792092,5.516172393968779,1515.359398667891,83.37784046177367,24.629795756484942,SI (Rank 1),I/239/hip_main,26062.0,83.3781644015,24.6288114583,6.97
2,434.22881186484375,22.081244189294043,84.0,105.0,NO,1576.130084625182,,1498.39563974585,1507.4620421792092,5.516172393968779,1515.359398667891,83.37784046177367,24.629795756484942,SI (Rank 5),II/389/ps1_dr2,1.375508337915335e+17,83.3792236,24.62755681,14.1807
2,434.22881186484375,22.081244189294043,84.0,105.0,NO,1576.130084625182,,1498.39563974585,1507.4620421792092,5.516172393968779,1515.359398667891,83.37784046177367,24.629795756484942,SI (Rank 6),II/389/ps1_dr2,1.3755083376786587e+17,83.37677923,24.62940479,14.9191
3,906.9955257573822,20.012148883417037,9.0,13.0,NO,93.76608586782389,,93.74587120921339,93.74587120921339,3.5,52.41456096956352,82.95256624638813,23.85968181522456,SI (Rank 3),II/389/ps1_dr2,1.3663082953443258e+17,82.9536376,23.85981607,10.4052
3,906.9955257573822,20.012148883417037,9.0,13.0,NO,93.76608586782389,,93.74587120921339,93.74587120921339,3.5,52.41456096956352,82.95256624638813,23.85968181522456,SI (Rank 2),II/389/ps1_dr2,1.3663082954005262e+17,82.95394637,23.86000225,10.1615
3,906.9955257573822,20.012148883417037,9.0,13.0,NO,93.76608586782389,,93.74587120921339,93.74587120921339,3.5,52.41456096956352,82.95256624638813,23.85968181522456,SI (Rank 4),II/389/ps1_dr2,1.3663082954090219e+17,82.95412421,23.85968677,13.1771
3,906.9955257573822,20.012148883417037,9.0,13.0,NO,93.76608586782389,,93.74587120921339,93.74587120921339,3.5,52.41456096956352,82.95256624638813,23.85968181522456,SI (Rank 1),II/389/ps1_dr2,1.3663082953525213e+17,82.95354341,23.85974509,9.894
4,589.3924030979222,36.659134248567995,30.0,27.0,NO,286.2889315903536,,281.0681314758275,281.0681314758275,3.8429568017664457,260.7059200539202,83.26508207200823,24.36485072549063,SI (Rank 2),II/389/ps1_dr2,1.3723083266436814e+17,83.2665986,24.36473469,9.5747
4,589.3924030979222,36.659134248567995,30.0,27.0,NO,286.2889315903536,,281.0681314758275,281.0681314758275,3.8429568017664457,260.7059200539202,83.26508207200823,24.36485072549063,SI (Rank 1),II/389/ps1_dr2,1.3723083266873832e+17,83.26694083,24.3649988,8.9123
5,761.4802831114771,38.516234361830335,4.0,10.0,NO,71.67400080120412,,72.24678864896462,72.24678864896462,3.5,13.804665145575864,83.11493102711947,24.08242046317154,SI (Rank 2),II/389/ps1_dr2,1.3690083117070082e+17,83.1168119,24.08356653,14.0949
5,761.4802831114771,38.516234361830335,4.0,10.0,NO,71.67400080120412,,72.24678864896462,72.24678864896462,3.5,13.804665145575864,83.11493102711947,24.08242046317154,SI (Rank 1),II/389/ps1_dr2,1.3690083116362059e+17,83.11634328,24.08330877,10.9697
6,2993.972449208417,40.99940150112445,7.0,11.0,NO,106.84763295984439,,98.91140673178498,98.91140673178498,3.5,41.78345076664299,81.1862371897616,20.422920639813892,NO,,,,,
7,1548.0047536976524,45.30002613673704,7.0,15.0,NO,76.18218118014964,,76.62150637172805,76.62150637172805,3.5,41.19593557672017,82.43372773337238,22.790473234778517,SI (Rank 1),II/389/ps1_dr2,1.3534082434927872e+17,82.43507272,22.79022534,11.494
7,1548.0047536976524,45.30002613673704,7.0,15.0,NO,76.18218118014964,,76.62150637172805,76.62150637172805,3.5,41.19593557672017,82.43372773337238,22.790473234778517,SI (Rank 2),II/389/ps1_dr2,1.3535082434454277e+17,82.43446892261,22.7935206519,14.6767
8,241.54784591942547,47.54504784294696,14.0,17.0,NO,136.58588781698685,,127.72282330832992,127.72282330832992,3.5,90.56742773535449,83.59687461382644,24.923056396699565,SI (Rank 2),II/389/ps1_dr2,1.3790083599103797e+17,83.5988808,24.92288911,10.0786
8,241.54784591942547,47.54504784294696,14.0,17.0,NO,136.58588781698685,,127.72282330832992,127.72282330832992,3.5,90.56742773535449,83.59687461382644,24.923056396699565,SI (Rank 3),II/389/ps1_dr2,1.379008359869279e+17,83.59876272,24.92268792,10.392
8,241.54784591942547,47.54504784294696,14.0,17.0,NO,136.58588781698685,,127.72282330832992,127.72282330832992,3.5,90.56742773535449,83.59687461382644,24.923056396699565,SI (Rank 1),II/389/ps1_dr2,1.3790083599334757e+17,83.5992781,24.92252123,9.258
9,2891.4655629812437,50.6555812989411,86.0,87.0,NO,1667.2425323094897,,1604.2885300399735,1621.051739499062,6.081620468040006,1612.153999576712,81.28960775319537,20.583401361399584,SI (Rank 2),II/389/ps1_dr2,1.3270081292093142e+17,81.29195597,20.58408639,13.3859
9,2891.4655629812437,50.6555812989411,86.0,87.0,NO,1667.2425323094897,,1604.2885300399735,1621.051739499062,6.081620468040006,1612.153999576712,81.28960775319537,20.583401361399584,SI (Rank 1),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086
10,105.96395566308686,49.963801802173606,7.0,12.0,NO,104.42884573061711,,98.53511095211095,98.53511095211095,3.5,45.9617533548551,83.72367121811958,25.141805358889147,SI (Rank 3),II/389/ps1_dr2,1.381708372470403e+17,83.72468825,25.14132851,12.0351
10,105.96395566308686,49.963801802173606,7.0,12.0,NO,104.42884573061711,,98.53511095211095,98.53511095211095,3.5,45.9617533548551,83.72367121811958,25.141805358889147,SI (Rank 6),II/389/ps1_dr2,1.3816083725564978e+17,83.72547362,25.14103153,14.6337
10,105.96395566308686,49.963801802173606,7.0,12.0,NO,104.42884573061711,,98.53511095211095,98.53511095211095,3.5,45.9617533548551,83.72367121811958,25.141805358889147,SI (Rank 4),II/389/ps1_dr2,1.3817083725443083e+17,83.7254921,25.1418768,14.255
10,105.96395566308686,49.963801802173606,7.0,12.0,NO,104.42884573061711,,98.53511095211095,98.53511095211095,3.5,45.9617533548551,83.72367121811958,25.141805358889147,SI (Rank 5),II/389/ps1_dr2,1.3817083725374029e+17,83.72558648,25.14132198,14.5124
10,105.96395566308686,49.963801802173606,7.0,12.0,NO,104.42884573061711,,98.53511095211095,98.53511095211095,3.5,45.9617533548551,83.72367121811958,25.141805358889147,SI (Rank 2),II/389/ps1_dr2,1.3817083725013062e+17,83.72506181,25.14156041,10.515
