# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-17T03:46:36.407
# DATE-END: 2026-01-17T03:46:36.551
# TSTART: 1768621596407.05
# TSTOP: 1768621596437.05
# DATE: 2026-01-17T03:46:37
# EXPOSURE: 30000.0
# RA0: -2.411312e-23
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 165.477765305643
# DEC: 38.207845940879
# EQUINOX: 2000.0
# CRVAL1: 165.477765305643
# CRVAL2: 38.207845940879
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.00137927415071932
# CD1_2: 0.00120186679583263
# CD2_1: -0.00119612775069732
# CD2_2: 0.00138059625167148
# A_ORDER: 2
# A_0_2: -4.26866647533546e-06
# A_1_1: -3.19980354371474e-07
# A_2_0: 3.9639393497101e-07
# B_ORDER: 2
# B_0_2: -4.08635212264263e-07
# B_1_1: -9.92406571374338e-08
# B_2_0: 6.043239510697e-07
# AP_ORDER: 2
# AP_0_0: -6.55728297635013e-05
# AP_0_1: -1.5415721512417e-06
# AP_0_2: 4.26813485772906e-06
# AP_1_0: -6.08745393350306e-07
# AP_1_1: 3.2030786929168e-07
# AP_2_0: -3.96187167765935e-07
# BP_ORDER: 2
# BP_0_0: -3.15477473840531e-05
# BP_0_1: -2.76705731128954e-07
# BP_0_2: 4.08620790384758e-07
# BP_1_0: -1.10305398526258e-06
# BP_1_1: 9.96478744659697e-08
# BP_2_0: -6.04300427472465e-07
# NOME_FILE_FITS: 20260117_034636.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,kron_flux,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,label,flusso_fisso_max_run,raggio_fisso_max_run
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,RA_166.129DEC38.242,78.16,1.88
1733.7611654650946,1220.004026076174,166.12962073728664,38.24057585298048,10.0,25.0,96.46264851791008,1.6329889023776698,run_00000019,77,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,RA_166.129DEC38.242,78.16,1.88
