label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE,numero_di_run,Mag_estratta_max
RA_80.94DEC20.58,826,348.24801157614473,50,10.315411261367656
RA_80.98DEC20.40,747,397.976659520832,50,10.31036503278662
RA_80.99DEC19.98,144,77.43908704104872,11,11.339237084030202
RA_80.99DEC20.00,610,417.90952734949263,44,9.919075911655096
RA_81.00DEC19.98,284,89.87489000407115,22,11.092549058816582
RA_81.01DEC24.96,216,627.7358942376549,6,8.350627333887608
RA_81.02DEC19.34,194,216.14202835475845,20,10.50726340527879
RA_81.04DEC23.11,496,102.22727101873842,56,11.054038530384828
RA_81.05DEC21.01,547,185.4107218005524,52,10.869326418292523
RA_81.05DEC22.14,545,183.4420581681255,56,10.850185468706911
RA_81.06DEC20.14,650,521.2740037170496,47,9.731151485991466
RA_81.08DEC22.31,560,340.8443249361016,56,10.406881881312575
RA_81.17DEC21.51,539,148.83080396412987,65,11.17593311585878
RA_81.18DEC20.88,545,211.8872624002367,59,10.54728309041351
RA_81.19DEC20.42,65,157.11909621670117,15,10.46400677029711
RA_81.19DEC20.43,425,151.41596289450632,47,10.737348121592904
RA_81.20DEC19.17,138,131.55754296664227,17,10.752059428236784
RA_81.20DEC23.59,500,153.91864516993994,69,10.796166085054905
RA_81.20DEC24.11,481,334.91084839017475,49,10.01033751398732
RA_81.21DEC22.97,530,191.1556279707151,63,10.890931746453676
RA_81.22DEC22.10,554,351.6387967585359,67,10.3238604827391
RA_81.24DEC19.19,127,118.59949506510864,18,10.929145759729291
RA_81.24DEC21.75,466,86.01998135348565,58,11.43918817032844
RA_81.29DEC20.58,478,1723.52862179592,65,9.545454908865938
RA_81.29DEC22.66,267,75.36718963413729,46,11.390093846834766
RA_81.33DEC22.11,482,89.42912196850115,72,11.407291324957631
RA_81.36DEC21.86,473,92.51342632001686,77,11.303389085632004
RA_81.37DEC21.18,280,72.79055162970413,60,11.5322036974818
RA_81.37DEC21.78,535,132.71662328810544,81,10.780405526415397
RA_81.38DEC20.42,333,86.29239608492851,57,11.164556563477388
RA_81.38DEC21.92,526,129.15263704605206,82,10.939059090080434
RA_81.39DEC19.34,194,178.7882026542503,29,10.371796672760444
RA_81.42DEC22.19,429,103.89465616317,53,11.151482649891074
RA_81.43DEC22.19,62,122.27754417647786,21,11.311389804368238
RA_81.46DEC21.13,554,320.8932452154576,80,10.49976666605148
RA_81.48DEC21.79,560,409.2027689949783,85,10.361015576043744
RA_81.49DEC23.76,81,80.8752972231005,48,11.26802622040875
RA_81.51DEC21.23,431,83.39720079810206,75,11.372611141055652
RA_81.52DEC22.82,508,196.7673760938288,87,10.25419854269183
RA_81.53DEC19.46,190,99.98386152146352,36,11.080532233557046
RA_81.53DEC22.70,420,100.35713282026391,65,11.0690128594117
RA_81.57DEC24.09,133,275.4239815926012,54,10.378321161531344
RA_81.59DEC19.97,302,118.75343641123423,53,10.833871168636168
RA_81.62DEC19.80,285,92.25588170601702,47,11.108161299235572
RA_81.63DEC23.05,184,130.1559743025966,85,10.782281289326315
RA_81.68DEC22.55,407,86.77799004287802,93,11.519739245768022
RA_81.68DEC25.01,201,386.30980440418665,9,9.279013794828916
RA_81.68DEC25.29,13,145.12257490528722,3,10.238531511452614
RA_81.70DEC21.20,492,172.97651608069168,96,11.107881109625415
RA_81.72DEC23.01,174,120.3539508186464,94,11.201753350351307
RA_81.73DEC22.03,531,147.74965142271665,107,10.775610769514136
RA_81.75DEC22.96,209,312.3833366488573,95,10.389628733097682
RA_81.76DEC20.56,336,111.77965237590664,82,11.266387978964778
RA_81.76DEC22.39,518,124.79701422016882,97,11.007838792704156
RA_81.79DEC24.21,98,196.18491897136676,55,10.759728332539911
