label,Mag_estratta,err_Mag_estratta,xcentroid,ycentroid,RA_centroid,DEC_centroid,DATE-OBS,nome_file_fits,nome_cartella
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.571050523392754,0.2340693054398044,1908.5311546732944,197.2714614802509,81.9094925021169,21.936999571316925,2025-02-01T21:13:03.775,20250201_211303.fits,20250201
RA_81.91DEC21.94,5.495443953401674,0.2306894064041368,2006.727613924892,249.23496490196547,81.90912175117712,21.93744067245857,2025-02-01T21:22:09.654,20250201_212209.fits,20250201
RA_81.91DEC21.94,5.495443953401674,0.2306894064041368,2006.727613924892,249.23496490196547,81.90912175117712,21.93744067245857,2025-02-01T21:22:09.654,20250201_212209.fits,20250201
RA_81.91DEC21.94,5.495443953401674,0.2306894064041368,2006.727613924892,249.23496490196547,81.90912175117712,21.93744067245857,2025-02-01T21:22:09.654,20250201_212209.fits,20250201
