# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-12-23T04:45:28.537
# DATE-END: 2025-12-23T04:45:28.681
# TSTART: 1766465128537.11
# TSTOP: 1766465128567.11
# DATE: 2025-12-23T04:45:30
# EXPOSURE: 30000.0
# RA0: 1.791231e-33
# DEC0: 4.591635e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.112528091026
# DEC: 38.7110860214275
# EQUINOX: 2000.0
# CRVAL1: 166.112528091026
# CRVAL2: 38.7110860214275
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000802804932911208
# CD1_2: 0.00164319511025002
# CD2_1: -0.00164184374339139
# CD2_2: 0.000818081622905401
# A_ORDER: 2
# A_0_2: -2.76553567497566e-05
# A_1_1: 1.05271664344474e-05
# A_2_0: -1.77872610007256e-07
# B_ORDER: 2
# B_0_2: 1.9140700365598e-05
# B_1_1: -6.13966218458526e-06
# B_2_0: -4.43682686713814e-07
# AP_ORDER: 2
# AP_0_0: -0.00790009755480489
# AP_0_1: -0.000894992446225346
# AP_0_2: 2.77471632163099e-05
# AP_1_0: 0.000226798596282852
# AP_1_1: -1.05553008313777e-05
# AP_2_0: 1.72674725251754e-07
# BP_ORDER: 2
# BP_0_0: 0.00582269291233442
# BP_0_1: 0.000583436646980402
# BP_0_2: -1.92031854031387e-05
# BP_1_0: -0.000134372381829732
# BP_1_1: 6.15673496313285e-06
# BP_2_0: 4.47081727191799e-07
# NOME_FILE_FITS: 20251223_044528.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,kron_flux,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,label
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 1),I/239/hip_main,I/239/hip_main_54136,166.130108897,38.2413648053,6.01,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 2),II/389/ps1_dr2,II/389/ps1_dr2_153881661322337192,166.13221601,38.23871059,7.71,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 3),II/389/ps1_dr2,II/389/ps1_dr2_153891661308750809,166.13093521,38.24180522,11.727,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 4),II/389/ps1_dr2,II/389/ps1_dr2_153881661306919159,166.13057484,38.24053629,12.2265,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 5),II/389/ps1_dr2,II/389/ps1_dr2_153891661297651850,166.12976469,38.24266582,12.4294,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 6),II/389/ps1_dr2,II/389/ps1_dr2_153881661270679490,166.12719849611,38.24060707381,12.7319,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 7),II/389/ps1_dr2,II/389/ps1_dr2_153891661282560243,166.12831148,38.24135252,12.817,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 8),II/389/ps1_dr2,II/389/ps1_dr2_153891661281010773,166.12835744,38.24191354,13.1504,RA_166.130DEC38.241
1769.1216988577353,916.4127753050586,166.1305182282033,38.240333631279526,13.0,27.0,145.09026706026512,1.9507144158071257,run_00000005,57,SI (Rank 9),II/389/ps1_dr2,II/389/ps1_dr2_153881661265039227,166.12665345,38.24053532,14.6034,RA_166.130DEC38.241
