ID,Mag_Integrata,Mag_Brightest,label,Corrispondenza,saturazione,count_kron_flux,media_kron_flux,std_kron_flux,count_kron_fluxerr,media_kron_fluxerr,std_kron_fluxerr,count_kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,count_kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,count_raggio_kron_aper,media_raggio_kron_aper,std_raggio_kron_aper,count_somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,count_flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,count_raggio_fisso_max_run,media_raggio_fisso_max_run,std_raggio_fisso_max_run
26062.0,6.482547640873012,6.97,1,SI (Rank 1),NO,39,1559.6687375931274,53.49585641634594,0,,,39,1480.6079154916922,38.049560396872785,39,1489.1658085392662,40.55220688394492,39,5.438482115783588,0.15764049733599567,39,1495.1982868225346,43.677341024234444,39,1509.2882051282052,34.782750025339226,39,5.76,0.0
1.3335081465459968e+17,8.76946641577048,8.779,2,SI (Rank 1),NO,82,282.5189688402363,29.393610208681466,0,,,82,268.87518370392394,20.4544731786732,82,270.1140780688828,20.916200774070422,82,3.992446697535902,0.158529212618229,82,251.3073137401069,20.124535538171653,82,273.83658536585364,21.35579016055159,82,4.27,0.0
1.3663082953525213e+17,8.918993433909527,9.894,3,SI (Rank 1),NO,43,99.35523170421739,17.575903509293862,0,,,43,96.7133932403416,12.343473982833647,43,96.7133932403416,12.343473982833647,43,3.5,0.0,43,59.32328561102728,14.630577360510962,43,96.71395348837208,12.343235498410204,43,3.5,0.0
25539.0,4.877349078111759,4.88,4,SI (Rank 1),SI,92,7343.647074070348,159.67755596628047,0,,,92,7035.568478775654,135.53746565650036,92,7089.381658898071,142.45974500870722,92,7.332275282715191,0.21507324428564084,92,7376.336182103708,162.21156822045273,92,7131.129999999999,109.75603099902735,92,7.539999999999999,0.0
1.3723083266873832e+17,8.44117384993525,8.9123,5,SI (Rank 1),NO,49,286.25101746090866,25.517811729332642,0,,,49,268.97595343793853,15.803118261719705,49,269.6081982309648,15.76130408153695,49,3.7494491027331693,0.11319499212178649,49,248.06019507583565,13.961221571976838,49,272.6775510204082,14.27855830295496,49,3.9300000000000006,0.0
1.369008311636206e+17,10.910310152779235,10.9697,6,SI (Rank 1),NO,49,84.04807393594264,13.386725597049821,0,,,49,81.93439633463832,8.601153452493774,49,81.93439633463832,8.601153452493774,49,3.5,0.0,49,28.263370821255698,12.138522411405242,49,81.93489795918367,8.600910107475304,49,3.5,0.0
1.3816083725162998e+17,9.476664249921793,10.2504,7,SI (Rank 1),NO,46,116.05049626587098,13.279517468119574,0,,,46,105.63819277759958,8.214579066339011,46,105.63819277759958,8.214579066339011,46,3.5,0.0,46,58.26368343968248,13.230746971662859,46,105.63782608695652,8.214995208774821,46,3.5,0.0
1.3790083599334755e+17,8.60691579778065,9.258,8,SI (Rank 1),NO,49,146.86609740117828,19.533571570370913,0,,,49,134.02960425733394,12.911067942192696,49,134.21355314445117,13.466288754999471,49,3.5147372988699495,0.07957396361190104,49,96.35468001066928,16.791301565634246,49,134.3522448979592,12.294165497182338,49,3.54,0.0
1.3534082434927872e+17,11.437595394957212,11.494,9,SI (Rank 1),NO,112,75.62138968114057,11.468779615561354,0,,,112,76.24302492631533,9.328453086386718,112,76.24302492631533,9.328453086386718,112,3.5,0.0,112,33.47217292117556,13.665613296892838,112,76.24276785714287,9.328000588156673,112,3.5,0.0
1.3782083606397446e+17,9.421006756700125,10.1681,10,SI (Rank 1),NO,57,272.9223247968923,30.994114282161743,0,,,57,232.00840690821164,19.653668648497472,57,233.7447504649971,20.11923560118432,57,3.823209665841282,0.19176579422827694,57,199.04523975437155,17.140782501370115,57,242.2615789473684,16.92428303920073,57,4.16,0.0
1.3250081190235786e+17,9.332883383015789,9.6921,11,SI (Rank 1),NO,53,108.22340585080221,15.19923831032231,0,,,53,99.93442893061442,11.76541415503395,53,99.93442893061442,11.76541415503395,53,3.5,0.0,53,47.04811770285068,15.940364447433078,53,99.93490566037737,11.76555461810866,53,3.5,0.0
1.3821083814297248e+17,10.125794786268065,11.1732,12,SI (Rank 1),NO,7,78.22050228560094,15.94014146249149,0,,,7,76.09473067382216,7.961653725215733,7,76.09473067382216,7.961653725215733,7,3.5,0.0,7,15.156438737339688,7.977992276837326,7,76.0942857142857,7.963039321646933,7,3.5,0.0
25337.0,6.7366733500096085,6.75,13,SI (Rank 1),NO,103,1654.5893446799896,89.37201574543228,0,,,103,1590.9378913229934,74.52178539198846,103,1604.0830410794226,79.63620389837475,103,6.078858706771443,0.16194305927637162,103,1605.191018956547,87.37995220889094,103,1619.794563106796,74.24913344416368,103,6.38,0.0
1.3453082132017203e+17,11.069700000000001,11.0697,14,SI (Rank 1),NO,20,67.1804267200994,9.386416808724158,0,,,20,68.46163700764106,8.039311677924628,20,68.46163700764106,8.039311677924628,20,3.5,0.0,20,19.038106189871748,8.449742062888513,20,68.4615,8.038550062372142,20,3.5,0.0
1.343008204889788e+17,8.830563564683002,9.4348,15,SI (Rank 1),NO,115,125.52414417826084,14.63171819495353,0,,,115,121.78607711912055,11.439734056381761,115,121.78607711912055,11.439734056381761,115,3.5,0.0,115,94.66119249411933,12.823605970832805,115,121.78634782608695,11.439618930780185,115,3.5,0.0
1.3377081856034866e+17,9.131097152439269,9.545,16,SI (Rank 1),NO,115,333.00031867909985,30.304333859258822,0,,,115,311.22513042701075,20.208094453180173,115,312.46565463297037,20.840608627270615,115,3.7349210522684286,0.17464182044586157,115,294.94628335338246,19.14936795880981,115,317.1251304347826,18.986728114669464,115,3.98,0.0
1.3343081703234528e+17,9.32937077443388,10.0469,17,SI (Rank 1),NO,115,149.5755686337598,18.514559935812354,0,,,115,143.196360923159,12.837223394091458,115,143.196360923159,12.837223394091458,115,3.5,0.0,115,115.75722207488731,13.064217367057271,115,143.1962608695652,12.837123554730647,115,3.5,0.0
1.3428082091297395e+17,10.0514,10.0514,18,SI (Rank 1),NO,115,144.22390979620815,19.04617218332514,0,,,115,139.06348613431953,14.237392698941445,115,139.06348613431953,14.237392698941445,115,3.5,0.0,115,114.59594265026705,14.379634498858733,115,139.0638260869565,14.237714099408887,115,3.5,0.0
1.3551082658075587e+17,9.349686938369956,10.43,19,SI (Rank 1),NO,115,81.99844900326853,12.478128313724076,0,,,115,82.03121213099926,10.442778118442941,115,82.03121213099926,10.442778118442941,115,3.5,0.0,115,45.3618494184172,15.410442685009272,115,82.03121739130435,10.442777672750768,115,3.5,0.0
1.3802083848352717e+17,8.210050435033612,8.2281,20,SI (Rank 1),NO,75,405.9556456114208,30.369052649794714,0,,,75,377.5755155184066,18.9708087997683,75,381.132749232257,19.606797053205245,75,4.539259986435176,0.1555328572578841,75,355.25408929818695,18.93563090191665,75,386.4073333333333,18.05114605430566,75,4.8,0.0
1.3457082249084472e+17,9.82684453201383,10.369,21,SI (Rank 1),NO,61,71.44183626297544,10.83928955877633,0,,,61,72.12292818517848,7.635073197221632,61,72.12292818517848,7.635073197221632,61,3.5,0.0,61,22.295385840426988,10.155097264182693,61,72.1227868852459,7.635308361192221,61,3.5,0.0
1.3547082696702544e+17,9.044974813793486,10.0285,22,SI (Rank 1),NO,115,89.72687044435393,12.764754901223368,0,,,115,89.43098483389612,10.587657365572928,115,89.43098483389612,10.587657365572928,115,3.5,0.0,115,56.64920783360111,12.946677162507422,115,89.43078260869567,10.587623538319104,115,3.5,0.0
1.3448082288594734e+17,11.5927,11.5927,23,SI (Rank 1),NO,115,134.17011784712082,23.957653907424127,0,,,115,122.78636970371232,13.536182148413863,115,122.78636970371232,13.536182148413863,115,3.5,0.0,115,85.51250872399164,14.00228686044873,115,122.78660869565216,13.53659568018103,115,3.5,0.0
1.3504082564067878e+17,8.370495558384954,8.406,24,SI (Rank 1),NO,115,1557.0769409212846,93.17999497403798,0,,,115,1433.9997231683274,61.7839027078898,115,1452.9934016024815,65.33210896000428,115,6.138245358933386,0.2801680069669553,115,1437.2701530182987,62.88714861261781,115,1482.3326086956522,49.500954289701745,115,6.54,0.0
1.342408219473435e+17,9.682431175690834,10.0552,25,SI (Rank 1),NO,27,68.25645233305686,10.31045563241718,0,,,27,69.06008434923844,7.671657665863926,27,69.06008434923844,7.671657665863926,27,3.5,0.0,27,18.99600532842464,8.064104597346034,27,69.05962962962964,7.671045200814194,27,3.5,0.0
1.3373081976636584e+17,8.519600490192158,9.178,26,SI (Rank 1),NO,115,209.09570161883096,19.21362932398769,0,,,115,199.59051139357553,13.62925807930536,115,199.7658342712711,13.866197820869099,115,3.5148166920772232,0.04560412865747629,115,181.8951931098698,13.863693649193522,115,200.7175652173913,13.717686661867061,115,3.59,0.0
1.3707083528493816e+17,10.994927706269891,11.6743,27,SI (Rank 1),NO,74,76.23926056852143,10.980051177675103,0,,,74,75.91743394338502,7.821610050902682,74,75.91743394338502,7.821610050902682,74,3.5,0.0,74,23.296859749597154,10.347940621600033,74,75.91756756756756,7.821127482538036,74,3.5,0.0
1.3370082000890664e+17,9.548118025369552,9.753,28,SI (Rank 1),NO,115,96.66036959524884,14.419417683277045,0,,,115,95.28718578146112,11.727544822931108,115,95.28718578146112,11.727544822931108,115,3.5,0.0,115,61.116464749750705,14.972289159368056,115,95.2873043478261,11.727533902813814,115,3.5,0.0
1.3790083957368802e+17,9.2282,9.2282,29,SI (Rank 1),NO,95,99.1058984574067,15.594967640536852,0,,,95,95.06535384117349,10.910375319319462,95,95.07227595964619,10.93590356692407,95,3.5004008023583317,0.003906538159575233,95,45.78331900431008,15.20402517409741,95,95.06536842105263,10.910426870222885,95,3.5,0.0
1.3564082898595654e+17,9.805,9.805,30,SI (Rank 1),NO,115,103.60751632546663,13.542234996204131,0,,,115,102.85497716637582,10.866842568929487,115,102.85497716637582,10.866842568929487,115,3.5,0.0,115,75.32434384846647,12.38650258538978,115,102.85469565217392,10.866980755476344,115,3.5,0.0
