label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE,numero_di_run,Mag_estratta_max
RA_1.09DEC89.12,375,72.25562235509665,2,10.919941218853175
RA_1.59DEC87.89,507,252.7649677818234,2,10.007349830072354
RA_10.02DEC87.80,362,208.69176428778323,2,9.8015806304581
RA_102.06DEC87.13,55,71.62870538995524,3,11.141529463708396
RA_102.14DEC89.08,562,146.60760317872447,4,10.24786779249799
RA_102.44DEC88.94,190,65.08743685429985,4,11.255269550085076
RA_102.94DEC86.68,58,1760.7034400137495,2,7.136140129339391
RA_103.25DEC86.17,27,74.66382700992477,2,11.130908785457471
RA_104.88DEC85.96,58,166.29429783874397,2,9.911722266786418
RA_105.59DEC86.42,36,73.8151623951046,2,11.171232172692076
RA_106.36DEC89.27,543,88.51804502286498,4,11.133032300375715
RA_107.42DEC85.57,52,770.3599589897956,2,8.212302347967787
RA_107.47DEC85.88,53,95.79371255535064,2,10.513489482762374
RA_108.01DEC86.73,33,68.62536678044678,2,11.35015957797093
RA_108.48DEC88.34,559,145.17670568124873,4,10.210046942164444
RA_108.66DEC86.33,58,106.56814892123936,2,10.478311362943192
RA_108.82DEC85.83,42,87.61335186436878,2,10.841280151401552
RA_109.01DEC87.26,130,142.31937922516389,3,10.478824631261825
RA_109.59DEC89.60,326,70.85251338654035,4,11.162082630733712
RA_111.07DEC87.13,84,141.36238828735264,3,10.237674348270495
RA_111.36DEC85.74,58,436.0123200878791,2,8.888037971246247
RA_112.15DEC88.64,563,160.328064562224,4,10.325626345918918
RA_112.24DEC87.38,197,380.78569375496215,3,9.387561703731878
RA_112.26DEC86.31,58,183.47930751288104,2,9.723828739833989
RA_113.59DEC88.19,562,138.76758069076715,4,10.236907469089187
RA_114.41DEC86.24,43,78.63193912279455,2,11.006748641869924
RA_114.80DEC88.46,528,80.37312130707167,4,10.859558706874402
RA_115.13DEC87.02,58,8501.50180215609,2,5.342633144631242
RA_116.36DEC87.79,430,160.52526505155333,3,10.314382054445476
RA_116.40DEC86.69,43,73.0320645229499,2,11.159780451661597
RA_116.68DEC87.38,36,69.14089697293471,3,11.180907349436744
RA_117.18DEC86.33,58,207.38982050559065,2,9.593459921855072
RA_117.48DEC86.36,58,509.3151043885967,2,8.663511587017982
RA_117.54DEC86.22,37,75.20504083573667,2,10.986122341474244
RA_118.13DEC87.90,119,71.86775509444593,3,11.175050544904158
RA_118.29DEC86.72,58,112.16889973649312,2,10.402577002537626
RA_118.35DEC88.45,300,68.67468266456056,4,11.246836705477696
RA_119.49DEC86.89,42,72.28855851160108,2,11.07553794862168
RA_121.19DEC86.52,40,73.5199167799558,2,11.120637000702365
RA_121.89DEC88.76,558,111.2579722924016,4,10.573925449286016
RA_123.56DEC87.69,289,169.40923594369602,3,10.09996032628502
RA_124.19DEC86.34,58,129.9964082237642,2,10.360893983400285
RA_125.00DEC88.61,539,84.06447415042055,4,10.897139023252556
RA_125.45DEC86.67,49,76.24902886429861,2,11.15468036359463
RA_125.56DEC87.25,37,76.78334114510407,3,11.015919883266143
RA_125.83DEC86.44,53,89.91154612926475,2,10.73100247582331
RA_125.87DEC86.38,58,640.786109180607,2,8.630423487020485
RA_126.91DEC87.43,37,67.54325924737091,3,11.273007203896071
RA_127.53DEC87.84,82,72.49503217804853,3,11.193492923635262
RA_13.12DEC87.96,481,84.69835373057384,2,10.748207070361346
RA_13.72DEC87.82,452,148.5208646819609,2,10.154949482460292
RA_130.99DEC86.23,56,122.11571869950096,2,10.430369085555844
RA_131.10DEC88.82,296,66.67913704675284,4,11.271073123622932
RA_131.36DEC86.61,53,85.94984225260217,2,10.771185626213729
