# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2026-01-15T02:07:29.476
# DATE-END: 2026-01-15T02:07:29.620
# TSTART: 1768442849476.32
# TSTOP: 1768442849506.33
# DATE: 2026-01-15T02:07:30
# EXPOSURE: 30000.0
# RA0: -3.130456e-06
# DEC0: 4.591354e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 166.751721550737
# DEC: 38.2050580960048
# EQUINOX: 2000.0
# CRVAL1: 166.751721550737
# CRVAL2: 38.2050580960048
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: 0.000194023469440906
# CD1_2: 0.00181372161053607
# CD2_1: -0.00181608866770734
# CD2_2: 0.000197122755204085
# A_ORDER: 2
# A_0_2: -1.03701502162858e-06
# A_1_1: -1.82022268246631e-06
# A_2_0: -4.2434721630945e-07
# B_ORDER: 2
# B_0_2: 8.83523562637599e-07
# B_1_1: 1.93752825826401e-06
# B_2_0: 2.56450538592579e-07
# AP_ORDER: 2
# AP_0_0: -4.31332074037153e-05
# AP_0_1: -1.39919050806889e-06
# AP_0_2: 1.03702775812282e-06
# AP_1_0: -6.66614394374518e-07
# AP_1_1: 1.82034255458463e-06
# AP_2_0: 4.2439625741371e-07
# BP_ORDER: 2
# BP_0_0: 5.4416425200395e-05
# BP_0_1: 1.73347498722393e-06
# BP_0_2: -8.83506113472531e-07
# BP_1_0: 7.94815946209814e-07
# BP_1_1: -1.93765333380409e-06
# BP_2_0: -2.56525468146769e-07
# NOME_FILE_FITS: 20260115_020729.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_00000007_stelle_trovate_e_catalogate_immagine_022.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
RA_164.865__DEC_40.434,229.92554036620857,371.3408855419266,164.87438283791704,40.43498887063482,32.0,36.0,NO,1316,338.89675195993,327.3290993074718,263.91,2.79,327.3290993074718,264.50,2.80,305.85214390343384,244.41,2.71,3.874902786355467,run_00000007,22,SI (Rank 1),I/239/hip_main,53721.0,164.8665570638,40.4302568508,5.03,329.28,268.63,2.70,3.98
RA_164.865__DEC_40.434,229.92554036620857,371.3408855419266,164.87438283791704,40.43498887063482,32.0,36.0,NO,1315,338.89675195993,327.3290993074718,263.98,2.79,327.3290993074718,264.57,2.80,305.85214390343384,244.51,2.72,3.874902786355467,run_00000007,22,SI (Rank 2),II/389/ps1_dr2,1.56511648658869e+17,164.86589063,40.43196347,12.5411,329.3,268.74,2.69,3.98
RA_164.865__DEC_40.434,229.92554036620857,371.3408855419266,164.87438283791704,40.43498887063482,32.0,36.0,NO,1314,338.89675195993,327.3290993074718,264.18,2.81,327.3290993074718,264.78,2.82,305.85214390343384,244.75,2.73,3.874902786355467,run_00000007,22,SI (Rank 3),II/389/ps1_dr2,1.565116486475796e+17,164.86474371,40.43234978,12.7393,329.31,268.96,2.71,3.98
RA_164.865__DEC_40.434,229.92554036620857,371.3408855419266,164.87438283791704,40.43498887063482,32.0,36.0,NO,1313,338.89675195993,327.3290993074718,263.98,2.79,327.3290993074718,264.57,2.80,305.85214390343384,244.51,2.72,3.874902786355467,run_00000007,22,SI (Rank 4),II/389/ps1_dr2,1.5651164866179866e+17,164.86620917,40.43177206,12.7629,329.3,268.74,2.69,3.98
RA_164.865__DEC_40.434,229.92554036620857,371.3408855419266,164.87438283791704,40.43498887063482,32.0,36.0,NO,1308,338.89675195993,327.3290993074718,264.03,2.81,327.3290993074718,264.64,2.82,305.85214390343384,244.59,2.74,3.874902786355467,run_00000007,22,SI (Rank 5),II/389/ps1_dr2,1.565116486518045e+17,164.86516295,40.42837689,12.9466,329.28,268.73,2.71,3.98
RA_164.865__DEC_40.434,229.92554036620857,371.3408855419266,164.87438283791704,40.43498887063482,32.0,36.0,NO,1314,338.89675195993,327.3290993074718,264.18,2.81,327.3290993074718,264.78,2.82,305.85214390343384,244.75,2.73,3.874902786355467,run_00000007,22,SI (Rank 6),II/389/ps1_dr2,1.5651164864911898e+17,164.86494349,40.43199656,13.0747,329.31,268.96,2.71,3.98
RA_164.889DEC36.087,2589.387380901926,78.42953721863998,164.8858636001171,36.08874448122023,15.0,18.0,NO,1126,160.71210161048322,155.00760039852227,139.68,1.88,155.00760039852227,139.77,1.90,119.06275971653506,106.34,2.14,3.5,run_00000007,22,SI (Rank 1),I/239/hip_main,53726.0,164.8866143004,36.09309993,5.99,155.1,139.77,1.88,3.51
RA_164.889DEC36.087,2589.387380901926,78.42953721863998,164.8858636001171,36.08874448122023,15.0,18.0,NO,1083,160.71210161048322,155.00760039852227,139.87,1.94,155.00760039852227,139.96,1.96,119.06275971653506,106.43,2.22,3.5,run_00000007,22,SI (Rank 2),II/389/ps1_dr2,1.51311648824585e+17,164.8821641,36.09539474,12.5763,155.19,140.06,1.95,3.52
RA_164.889DEC36.087,2589.387380901926,78.42953721863998,164.8858636001171,36.08874448122023,15.0,18.0,NO,1123,160.71210161048322,155.00760039852227,139.68,1.88,155.00760039852227,139.77,1.90,119.06275971653506,106.34,2.14,3.5,run_00000007,22,SI (Rank 3),II/389/ps1_dr2,1.5131164886396333e+17,164.8863845,36.09387328,12.7123,155.1,139.77,1.88,3.51
RA_164.889DEC36.087,2589.387380901926,78.42953721863998,164.8858636001171,36.08874448122023,15.0,18.0,NO,1128,160.71210161048322,155.00760039852227,139.41,1.88,155.00760039852227,139.49,1.89,119.06275971653506,106.09,2.13,3.5,run_00000007,22,SI (Rank 4),II/389/ps1_dr2,1.5131164887719098e+17,164.88762992,36.09201859,12.7789,155.07,139.46,1.87,3.51
RA_164.889DEC36.087,2589.387380901926,78.42953721863998,164.8858636001171,36.08874448122023,15.0,18.0,NO,1127,160.71210161048322,155.00760039852227,139.68,1.88,155.00760039852227,139.77,1.90,119.06275971653506,106.34,2.14,3.5,run_00000007,22,SI (Rank 5),II/389/ps1_dr2,1.513116488562219e+17,164.88554002,36.09274531,13.1073,155.1,139.77,1.88,3.51
RA_164.889DEC36.087,2589.387380901926,78.42953721863998,164.8858636001171,36.08874448122023,15.0,18.0,NO,262,160.71210161048322,155.00760039852227,139.55,2.84,155.00760039852227,139.64,2.87,119.06275971653506,106.38,3.27,3.5,run_00000007,22,SI (Rank 6),II/389/ps1_dr2,1.513016487574839e+17,164.87577662,36.08615428,13.3087,155.31,139.88,2.86,3.53
RA_165.211__DEC_39.212,911.5978659015548,432.1510408685157,165.21652618819988,39.21214126050057,28.0,50.0,NO,1798,334.49818264166595,321.7477732862934,277.86,2.73,321.7477732862934,277.87,2.73,301.82649115327206,264.23,2.77,3.5,run_00000007,22,SI (Rank 1),I/239/hip_main,53838.0,165.210080324,39.2120921744,5.06,321.75,277.86,2.73,3.5
RA_165.211__DEC_39.212,911.5978659015548,432.1510408685157,165.21652618819988,39.21214126050057,28.0,50.0,NO,1796,334.49818264166595,321.7477732862934,277.86,2.73,321.7477732862934,277.87,2.73,301.82649115327206,264.23,2.77,3.5,run_00000007,22,SI (Rank 2),II/389/ps1_dr2,1.5505165210987254e+17,165.21049696,39.21004329,12.4897,321.75,277.86,2.73,3.5
RA_165.211__DEC_39.212,911.5978659015548,432.1510408685157,165.21652618819988,39.21214126050057,28.0,50.0,NO,1796,334.49818264166595,321.7477732862934,277.86,2.73,321.7477732862934,277.87,2.73,301.82649115327206,264.23,2.77,3.5,run_00000007,22,SI (Rank 3),II/389/ps1_dr2,1.5505165210628314e+17,165.2103934,39.21038563,12.6712,321.75,277.86,2.73,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 1),I/239/hip_main,54136.0,166.130108897,38.2413648053,6.01,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 2),II/389/ps1_dr2,1.5388166132233718e+17,166.13221601,38.23871059,7.71,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 3),II/389/ps1_dr2,1.5389166130875082e+17,166.13093521,38.24180522,11.727,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 4),II/389/ps1_dr2,1.5388166130691917e+17,166.13057484,38.24053629,12.2265,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 5),II/389/ps1_dr2,1.5389166129765184e+17,166.12976469,38.24266582,12.4294,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 6),II/389/ps1_dr2,1.538816612706795e+17,166.12719849611,38.24060707381,12.7319,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 7),II/389/ps1_dr2,1.5389166128256026e+17,166.12831148,38.24135252,12.817,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 8),II/389/ps1_dr2,1.5389166128101078e+17,166.12835744,38.24191354,13.1504,100.64,114.82,1.33,3.5
RA_166.129__DEC_38.242,1485.9582424319603,758.9597097452506,166.1313454020976,38.23982364534846,9.0,22.0,NO,1807,99.77922377259962,100.64407896203411,114.82,1.33,100.64407896203411,114.82,1.33,68.65031288468681,95.07,1.42,3.5,run_00000007,22,SI (Rank 9),II/389/ps1_dr2,1.5388166126503923e+17,166.12665345,38.24053532,14.6034,100.64,114.82,1.33,3.5
RA_167.329__DEC_36.312,2594.050930743664,1164.386344054117,167.3270203927356,36.30961843903022,26.0,31.0,NO,1708,310.1615982191093,252.51818082203465,227.43,2.28,252.51818082203465,227.82,2.31,208.2476301903214,196.82,2.41,3.730590135053277,run_00000007,22,SI (Rank 1),I/239/hip_main,54522.0,167.3295003665,36.309378969,5.71,254.2,233.07,2.23,3.77
RA_167.329__DEC_36.312,2594.050930743664,1164.386344054117,167.3270203927356,36.30961843903022,26.0,31.0,NO,1705,310.1615982191093,252.51818082203465,227.43,2.28,252.51818082203465,227.82,2.31,208.2476301903214,196.82,2.41,3.730590135053277,run_00000007,22,SI (Rank 2),II/389/ps1_dr2,1.515716732746127e+17,167.32759079,36.31021643,7.0301,254.2,233.07,2.23,3.77
RA_167.329__DEC_36.312,2594.050930743664,1164.386344054117,167.3270203927356,36.30961843903022,26.0,31.0,NO,1702,310.1615982191093,252.51818082203465,227.43,2.28,252.51818082203465,227.82,2.31,208.2476301903214,196.82,2.41,3.730590135053277,run_00000007,22,SI (Rank 3),II/389/ps1_dr2,1.5156167327749856e+17,167.3279408,36.3066183,12.6978,254.2,233.07,2.23,3.77
RA_167.329__DEC_36.312,2594.050930743664,1164.386344054117,167.3270203927356,36.30961843903022,26.0,31.0,NO,1705,310.1615982191093,252.51818082203465,227.43,2.28,252.51818082203465,227.82,2.31,208.2476301903214,196.82,2.41,3.730590135053277,run_00000007,22,SI (Rank 4),II/389/ps1_dr2,1.515716733020705e+17,167.33020443,36.30815493,12.7953,254.2,233.07,2.23,3.77
RA_167.329__DEC_36.312,2594.050930743664,1164.386344054117,167.3270203927356,36.30961843903022,26.0,31.0,NO,1700,310.1615982191093,252.51818082203465,227.43,2.28,252.51818082203465,227.82,2.31,208.2476301903214,196.82,2.41,3.730590135053277,run_00000007,22,SI (Rank 5),II/389/ps1_dr2,1.515716732886958e+17,167.32895151,36.31250412,14.3866,254.2,233.07,2.23,3.77
