# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:36:43.082
# DATE-END: 2025-01-20T21:36:44.140
# TSTART: 1737409003081.51
# TSTOP: 1737409004081.51
# DATE: 2025-01-20T21:36:46
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1731840115988
# DEC: 22.0165309033306
# EQUINOX: 2000.0
# CRVAL1: 84.1731840115988
# CRVAL2: 22.0165309033306
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000816080479407354
# CD1_2: 0.00163382756095519
# CD2_1: -0.0016333406503841
# CD2_2: -0.000816371797997589
# A_ORDER: 2
# A_0_2: -2.57644263132481e-08
# A_1_1: 6.09727735316075e-08
# A_2_0: -1.41617404980808e-07
# B_ORDER: 2
# B_0_2: 2.36519617323161e-07
# B_1_1: -2.97733551473637e-08
# B_2_0: 2.14832513521816e-07
# AP_ORDER: 2
# AP_0_0: 4.2993633468195e-07
# AP_0_1: -4.13829926845179e-08
# AP_0_2: 2.57644625826861e-08
# AP_1_0: 8.94955820516091e-08
# AP_1_1: -6.09725222235858e-08
# AP_2_0: 1.41616454897263e-07
# BP_ORDER: 2
# BP_0_0: 2.76227698018753e-07
# BP_0_1: 1.85186722737856e-07
# BP_0_2: -2.36521445735819e-07
# BP_1_0: -1.13081770570828e-07
# BP_1_1: 2.97717671131293e-08
# BP_2_0: -2.14831857334417e-07
# NOME_FILE_FITS: 20250120_213642.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,kron_flux,kron_manuale_seg,kron_manuale_aper,somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
RA_81.189__DEC_20.423,2989.243026937834,33.88403433017215,81.18776758864303,20.422530549872427,8.0,10.0,NO,115.56659986587857,103.1035657544434,103.1035657544434,59.424111580124894,3.5,1,26,SI (Rank 3),II/389/ps1_dr2,1.3250081190029686e+17,81.18997934,20.42194635,12.4594
RA_81.189__DEC_20.423,2989.243026937834,33.88403433017215,81.18776758864303,20.422530549872427,8.0,10.0,NO,115.56659986587857,103.1035657544434,103.1035657544434,59.424111580124894,3.5,1,26,SI (Rank 5),II/389/ps1_dr2,1.3250081191231837e+17,81.19115346,20.42310033,14.2889
RA_81.189__DEC_20.423,2989.243026937834,33.88403433017215,81.18776758864303,20.422530549872427,8.0,10.0,NO,115.56659986587857,103.1035657544434,103.1035657544434,59.424111580124894,3.5,1,26,SI (Rank 4),II/389/ps1_dr2,1.3250081191104878e+17,81.19117491,20.42359042,13.0094
RA_81.189__DEC_20.423,2989.243026937834,33.88403433017215,81.18776758864303,20.422530549872427,8.0,10.0,NO,115.56659986587857,103.1035657544434,103.1035657544434,59.424111580124894,3.5,1,26,SI (Rank 2),II/389/ps1_dr2,1.3250081190580782e+17,81.19047456,20.42266981,11.187
RA_81.189__DEC_20.423,2989.243026937834,33.88403433017215,81.18776758864303,20.422530549872427,8.0,10.0,NO,115.56659986587857,103.1035657544434,103.1035657544434,59.424111580124894,3.5,1,26,SI (Rank 1),II/389/ps1_dr2,1.3250081190235786e+17,81.19025416,20.42282793,9.6921
RA_81.292__DEC_20.583,2886.947341588476,44.143082118149024,81.2910813900728,20.582690224365972,87.0,93.0,NO,1691.0049535986589,1625.389647265737,1634.3001876263154,1626.4281408593993,6.0612699393016225,1,26,SI (Rank 6),II/389/ps1_dr2,1.3270081292093142e+17,81.29195597,20.58408639,13.3859
RA_81.292__DEC_20.583,2886.947341588476,44.143082118149024,81.2910813900728,20.582690224365972,87.0,93.0,NO,1691.0049535986589,1625.389647265737,1634.3001876263154,1626.4281408593993,6.0612699393016225,1,26,SI (Rank 5),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611
RA_81.292__DEC_20.583,2886.947341588476,44.143082118149024,81.2910813900728,20.582690224365972,87.0,93.0,NO,1691.0049535986589,1625.389647265737,1634.3001876263154,1626.4281408593993,6.0612699393016225,1,26,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486
RA_81.292__DEC_20.583,2886.947341588476,44.143082118149024,81.2910813900728,20.582690224365972,87.0,93.0,NO,1691.0049535986589,1625.389647265737,1634.3001876263154,1626.4281408593993,6.0612699393016225,1,26,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086
RA_81.292__DEC_20.583,2886.947341588476,44.143082118149024,81.2910813900728,20.582690224365972,87.0,93.0,NO,1691.0049535986589,1625.389647265737,1634.3001876263154,1626.4281408593993,6.0612699393016225,1,26,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114
