# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:55:40.582
# DATE-END: 2025-01-20T21:55:41.641
# TSTART: 1737410140581.8
# TSTOP: 1737410141581.8
# DATE: 2025-01-20T21:55:43
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1712964959087
# DEC: 22.0160166015904
# EQUINOX: 2000.0
# CRVAL1: 84.1712964959087
# CRVAL2: 22.0160166015904
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00100964764396418
# CD1_2: 0.00152172414817916
# CD2_1: -0.00152128790230371
# CD2_2: -0.00100990121889076
# A_ORDER: 2
# A_0_2: -4.35648836459784e-07
# A_1_1: 2.79755489933566e-09
# A_2_0: -1.88445258207774e-07
# B_ORDER: 2
# B_0_2: -1.23378031297742e-07
# B_1_1: -2.51423790210933e-07
# B_2_0: 1.97989607496027e-07
# AP_ORDER: 2
# AP_0_0: 1.79396532828946e-06
# AP_0_1: -7.53537876004305e-08
# AP_0_2: 4.3564107089794e-07
# AP_1_0: 2.46380874102722e-07
# AP_1_1: -2.80278869281965e-09
# AP_2_0: 1.88445046921384e-07
# BP_ORDER: 2
# BP_0_0: -5.73767581535378e-07
# BP_0_1: 1.43880931706241e-07
# BP_0_2: 1.23374058073509e-07
# BP_1_0: -2.14615376217778e-07
# BP_1_1: 2.51424340450312e-07
# BP_2_0: -1.97986584484196e-07
# NOME_FILE_FITS: 20250120_215540.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,kron_flux,kron_manuale_seg,kron_manuale_aper,somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
RA_81.178__DEC_20.880,2889.4993758677015,80.5310470055638,81.17738927450362,20.880572070602923,14.0,13.0,NO,139.03000796354746,130.15148690612062,130.15148690612062,92.82661319867196,3.5,1,82,SI (Rank 1),II/389/ps1_dr2,1.330508118010871e+17,81.17980065,20.88039458,9.0389
RA_81.292__DEC_20.583,2995.6558990799385,217.69652006930013,81.2918799565763,20.582801625647168,79.0,84.0,NO,1529.8165112462402,1473.847419158333,1485.0424813187717,1478.552191174586,5.807698956730193,1,82,SI (Rank 6),II/389/ps1_dr2,1.3270081292093142e+17,81.29195597,20.58408639,13.3859
RA_81.292__DEC_20.583,2995.6558990799385,217.69652006930013,81.2918799565763,20.582801625647168,79.0,84.0,NO,1529.8165112462402,1473.847419158333,1485.0424813187717,1478.552191174586,5.807698956730193,1,82,SI (Rank 1),II/389/ps1_dr2,1.3270081293375078e+17,81.29323099,20.58370643,6.453
RA_81.292__DEC_20.583,2995.6558990799385,217.69652006930013,81.2918799565763,20.582801625647168,79.0,84.0,NO,1529.8165112462402,1473.847419158333,1485.0424813187717,1478.552191174586,5.807698956730193,1,82,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114
RA_81.292__DEC_20.583,2995.6558990799385,217.69652006930013,81.2918799565763,20.582801625647168,79.0,84.0,NO,1529.8165112462402,1473.847419158333,1485.0424813187717,1478.552191174586,5.807698956730193,1,82,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086
RA_81.292__DEC_20.583,2995.6558990799385,217.69652006930013,81.2918799565763,20.582801625647168,79.0,84.0,NO,1529.8165112462402,1473.847419158333,1485.0424813187717,1478.552191174586,5.807698956730193,1,82,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486
RA_81.292__DEC_20.583,2995.6558990799385,217.69652006930013,81.2918799565763,20.582801625647168,79.0,84.0,NO,1529.8165112462402,1473.847419158333,1485.0424813187717,1478.552191174586,5.807698956730193,1,82,SI (Rank 5),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611
RA_81.464__DEC_21.133,2693.5212147830835,130.29860591394146,81.46442144678876,21.13287745207398,28.0,27.0,NO,262.9755491249909,257.72293986006355,257.88972040099964,249.22934794979398,3.9646958511897887,1,82,SI (Rank 3),II/389/ps1_dr2,1.3335081457515206e+17,81.45750563502,21.1262615312,14.9213
RA_81.464__DEC_21.133,2693.5212147830835,130.29860591394146,81.46442144678876,21.13287745207398,28.0,27.0,NO,262.9755491249909,257.72293986006355,257.88972040099964,249.22934794979398,3.9646958511897887,1,82,SI (Rank 2),II/389/ps1_dr2,1.3335081466134982e+17,81.46601453,21.13263068,13.9154
RA_81.464__DEC_21.133,2693.5212147830835,130.29860591394146,81.46442144678876,21.13287745207398,28.0,27.0,NO,262.9755491249909,257.72293986006355,257.88972040099964,249.22934794979398,3.9646958511897887,1,82,SI (Rank 1),I/239/hip_main,25385.0,81.4653225298,21.1325115058,8.77
