# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT:   FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:48:13.755
# DATE-END: 2025-01-20T21:48:14.822
# TSTART: 1737409693754.69
# TSTOP: 1737409694754.69
# DATE: 2025-01-20T21:48:17
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1701871127495
# DEC: 22.0146820299492
# EQUINOX: 2000.0
# CRVAL1: 84.1701871127495
# CRVAL2: 22.0146820299492
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000921149926430263
# CD1_2: 0.00157670642068336
# CD2_1: -0.00157670738862535
# CD2_2: -0.000921268728631223
# A_ORDER: 2
# A_0_2: 8.95009554416392e-08
# A_1_1: 2.24349625939761e-07
# A_2_0: -1.89054130766532e-07
# B_ORDER: 2
# B_0_2: -6.69435318880889e-08
# B_1_1: -3.70959891883203e-07
# B_2_0: 3.79272026495615e-07
# AP_ORDER: 2
# AP_0_0: 1.38443338106124e-06
# AP_0_1: -1.12989506670553e-07
# AP_0_2: -8.95006984964199e-08
# AP_1_0: 2.09655075677785e-07
# AP_1_1: -2.24346287782927e-07
# AP_2_0: 1.89050684390251e-07
# BP_ORDER: 2
# BP_0_0: -2.4954721269547e-06
# BP_0_1: 2.55507758176602e-07
# BP_0_2: 6.69438965018099e-08
# BP_1_0: -4.02080655588939e-07
# BP_1_1: 3.70953210150874e-07
# BP_2_0: -3.79266133828212e-07
# NOME_FILE_FITS: 20250120_214813.fits
#
# PARAMETRI SEGMENTAZIONE:
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,kron_flux,kron_manuale_seg,kron_manuale_aper,somma_apertura_ultimo_pixel,raggio_kron_aper,run_id,img_index,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
RA_81.189__DEC_20.423,3049.180703548321,131.59749273519628,81.1886507589656,20.422068760292888,5.0,8.0,NO,100.37872995514279,92.58635167521291,92.58635167521291,27.045308563267888,3.5,1,60,SI (Rank 1),II/389/ps1_dr2,1.3250081190235786e+17,81.19025416,20.42282793,9.6921
RA_81.189__DEC_20.423,3049.180703548321,131.59749273519628,81.1886507589656,20.422068760292888,5.0,8.0,NO,100.37872995514279,92.58635167521291,92.58635167521291,27.045308563267888,3.5,1,60,SI (Rank 5),II/389/ps1_dr2,1.3250081191231837e+17,81.19115346,20.42310033,14.2889
RA_81.189__DEC_20.423,3049.180703548321,131.59749273519628,81.1886507589656,20.422068760292888,5.0,8.0,NO,100.37872995514279,92.58635167521291,92.58635167521291,27.045308563267888,3.5,1,60,SI (Rank 4),II/389/ps1_dr2,1.3250081191104878e+17,81.19117491,20.42359042,13.0094
RA_81.189__DEC_20.423,3049.180703548321,131.59749273519628,81.1886507589656,20.422068760292888,5.0,8.0,NO,100.37872995514279,92.58635167521291,92.58635167521291,27.045308563267888,3.5,1,60,SI (Rank 3),II/389/ps1_dr2,1.3250081190029686e+17,81.18997934,20.42194635,12.4594
RA_81.189__DEC_20.423,3049.180703548321,131.59749273519628,81.1886507589656,20.422068760292888,5.0,8.0,NO,100.37872995514279,92.58635167521291,92.58635167521291,27.045308563267888,3.5,1,60,SI (Rank 2),II/389/ps1_dr2,1.3250081190580782e+17,81.19047456,20.42266981,11.187
RA_81.292__DEC_20.583,2946.2557760985324,135.087207241101,81.2918701445286,20.58262001800322,95.0,94.0,NO,1758.0239417499229,1697.8732477661767,1714.7837145950532,1723.4712581154222,6.36490058252639,1,60,SI (Rank 1),II/389/ps1_dr2,1.3270081293375078e+17,81.29323099,20.58370643,6.453
RA_81.292__DEC_20.583,2946.2557760985324,135.087207241101,81.2918701445286,20.58262001800322,95.0,94.0,NO,1758.0239417499229,1697.8732477661767,1714.7837145950532,1723.4712581154222,6.36490058252639,1,60,SI (Rank 2),II/389/ps1_dr2,1.3270081289714494e+17,81.28994724,20.5869675,12.3114
RA_81.292__DEC_20.583,2946.2557760985324,135.087207241101,81.2918701445286,20.58262001800322,95.0,94.0,NO,1758.0239417499229,1697.8732477661767,1714.7837145950532,1723.4712581154222,6.36490058252639,1,60,SI (Rank 3),II/389/ps1_dr2,1.3270081292254182e+17,81.29235221,20.58447437,12.8086
RA_81.292__DEC_20.583,2946.2557760985324,135.087207241101,81.2918701445286,20.58262001800322,95.0,94.0,NO,1758.0239417499229,1697.8732477661767,1714.7837145950532,1723.4712581154222,6.36490058252639,1,60,SI (Rank 4),II/389/ps1_dr2,1.3270081294341058e+17,81.29434599,20.58341985,12.8486
RA_81.292__DEC_20.583,2946.2557760985324,135.087207241101,81.2918701445286,20.58262001800322,95.0,94.0,NO,1758.0239417499229,1697.8732477661767,1714.7837145950532,1723.4712581154222,6.36490058252639,1,60,SI (Rank 5),II/389/ps1_dr2,1.3270081294269011e+17,81.29417628,20.58289277,13.1611
