FWHM,Perse_MagLT10_Size3_Mean,Perse_MagLT10_Size3_Std,FP_Size3_Mean,FP_Size3_Std,Perse_MagLT10_Size5_Mean,Perse_MagLT10_Size5_Std,FP_Size5_Mean,FP_Size5_Std
2.2,5.719298245614035,4.659472095559235,16.710526315789473,10.916528337849073,6.245614035087719,4.710126089698199,11.921052631578947,8.050438297801158
2.2053691275167786,5.728070175438597,4.6665759785410605,16.719298245614034,10.912337112732853,6.245614035087719,4.710126089698199,11.903508771929825,7.987895775270839
2.210738255033557,5.728070175438597,4.6665759785410605,16.68421052631579,10.884010314083783,6.254385964912281,4.719893329728283,11.850877192982455,7.977196069125374
2.216107382550336,5.728070175438597,4.6665759785410605,16.68421052631579,10.884010314083783,6.2631578947368425,4.71662351647043,11.789473684210526,7.957644106328939
2.2214765100671143,5.719298245614035,4.6613543170353715,16.666666666666668,10.881068918939603,6.271929824561403,4.713335109529614,11.74561403508772,7.925985913003905
2.2268456375838928,5.719298245614035,4.6613543170353715,16.666666666666668,10.881068918939603,6.280701754385965,4.713751387071631,11.701754385964913,7.918366197513182
2.232214765100671,5.719298245614035,4.6613543170353715,16.649122807017545,10.855496187468654,6.298245614035087,4.708949718190424,11.640350877192983,7.914152538535062
2.23758389261745,5.719298245614035,4.6613543170353715,16.63157894736842,10.833074078863916,6.298245614035087,4.708949718190424,11.605263157894736,7.83337262519369
2.2429530201342285,5.719298245614035,4.6613543170353715,16.63157894736842,10.833074078863916,6.307017543859649,4.7037260202286895,11.56140350877193,7.8371977265858055
2.248322147651007,5.728070175438597,4.66093335980564,16.57017543859649,10.736860021771543,6.307017543859649,4.7037260202286895,11.56140350877193,7.876274709107156
2.2536912751677853,5.728070175438597,4.66093335980564,16.57017543859649,10.736860021771543,6.307017543859649,4.7037260202286895,11.508771929824562,7.777887700933647
2.2590604026845638,5.728070175438597,4.66093335980564,16.56140350877193,10.721379761722622,6.333333333333333,4.732616698900668,11.421052631578947,7.737916144569403
2.2644295302013426,5.719298245614035,4.666996426813681,16.56140350877193,10.721379761722622,6.359649122807017,4.7390264619128,11.394736842105264,7.714896073310126
2.269798657718121,5.7368421052631575,4.664258711300912,16.56140350877193,10.721379761722622,6.359649122807017,4.7390264619128,11.385964912280702,7.689716044229079
2.2751677852348995,5.7368421052631575,4.664258711300912,16.54385964912281,10.713281109009158,6.350877192982456,4.73875854669404,11.333333333333334,7.679622919592766
2.280536912751678,5.745614035087719,4.660041795439352,16.526315789473685,10.7207051076662,6.324561403508772,4.728590929236126,11.289473684210526,7.624664138948261
2.2859060402684563,5.745614035087719,4.660041795439352,16.517543859649123,10.721541241768998,6.368421052631579,4.711432824662915,11.263157894736842,7.56846253313182
2.291275167785235,5.745614035087719,4.660041795439352,16.49122807017544,10.673993328626494,6.394736842105263,4.721392934986178,11.228070175438596,7.576550953168111
2.2966442953020136,5.7631578947368425,4.690981701727949,16.5,10.674818705063094,6.385964912280702,4.702572591808125,11.201754385964913,7.559332357692689
2.302013422818792,5.7631578947368425,4.690981701727949,16.5,10.674818705063094,6.4035087719298245,4.72715057945061,11.166666666666666,7.511297533933459
2.3073825503355705,5.7631578947368425,4.690981701727949,16.5,10.674818705063094,6.394736842105263,4.704642017167224,11.131578947368421,7.455732702994666
2.312751677852349,5.7631578947368425,4.690981701727949,16.5,10.674818705063094,6.4035087719298245,4.697366373449518,11.087719298245615,7.455789465427887
2.318120805369128,5.7631578947368425,4.690981701727949,16.49122807017544,10.67892301393065,6.412280701754386,4.671322370928423,11.070175438596491,7.424141864576783
2.323489932885906,5.754385964912281,4.693334959707601,16.473684210526315,10.686284475919448,6.456140350877193,4.643690967846917,11.06140350877193,7.44722377062837
2.3288590604026846,5.754385964912281,4.693334959707601,16.464912280701753,10.655844146100746,6.456140350877193,4.643690967846917,11.026315789473685,7.420290492157049
2.334228187919463,5.7631578947368425,4.709644139681647,16.44736842105263,10.633522056233591,6.456140350877193,4.643690967846917,10.964912280701755,7.366269527154929
2.339597315436242,5.754385964912281,4.69707150928233,16.42982456140351,10.602854049939054,6.482456140350878,4.6758664759280615,10.956140350877194,7.3596700332178955
2.3449664429530204,5.7631578947368425,4.739351187327611,16.42982456140351,10.602854049939054,6.5,4.681523968396046,10.894736842105264,7.292592277354492
2.350335570469799,5.7631578947368425,4.739351187327611,16.42105263157895,10.608582041302904,6.5,4.681523968396046,10.859649122807017,7.238877969882496
2.3557046979865772,5.7631578947368425,4.739351187327611,16.42105263157895,10.608582041302904,6.543859649122807,4.727931840569781,10.807017543859649,7.187803013270949
2.3610738255033556,5.7631578947368425,4.739351187327611,16.412280701754387,10.557953187060166,6.56140350877193,4.714730718658424,10.74561403508772,7.1681696549334175
2.3664429530201345,5.7631578947368425,4.739351187327611,16.333333333333332,10.473581356572764,6.587719298245614,4.708729115814458,10.710526315789474,7.152135841230419
2.371812080536913,5.7631578947368425,4.739351187327611,16.333333333333332,10.473581356572764,6.587719298245614,4.708729115814458,10.692982456140351,7.121904920837304
2.3771812080536914,5.7631578947368425,4.739351187327611,16.333333333333332,10.473581356572764,6.5964912280701755,4.701099718758636,10.666666666666666,7.12133767577396
2.38255033557047,5.7631578947368425,4.739351187327611,16.31578947368421,10.435529550928896,6.5964912280701755,4.701099718758636,10.596491228070175,7.115240990661258
2.3879194630872487,5.7631578947368425,4.739351187327611,16.31578947368421,10.435529550928896,6.614035087719298,4.7156119431913455,10.552631578947368,7.057523179251303
