MergeRadius_Arcsec,Perse_MagLT10_Mean,Perse_MagLT10_Std,FP_Mean,FP_Std
0.24999999999999994,8.385964912280702,5.737700456200606,8.43859649122807,5.724731032859464
0.27777777777777773,8.324561403508772,5.562240514799339,8.43859649122807,5.724731032859464
0.30555555555555547,8.31578947368421,5.560379561501119,8.43859649122807,5.724731032859464
0.33333333333333326,8.307017543859649,5.552188114549193,8.43859649122807,5.724731032859464
0.36111111111111105,8.236842105263158,5.382399242591374,8.43859649122807,5.724731032859464
0.38888888888888884,8.236842105263158,5.382399242591374,8.43859649122807,5.724731032859464
0.41666666666666663,8.087719298245615,5.1308516503645505,8.43859649122807,5.724731032859464
0.44444444444444436,8.087719298245615,5.1308516503645505,8.43859649122807,5.724731032859464
0.4722222222222222,8.087719298245615,5.1308516503645505,8.43859649122807,5.724731032859464
0.4999999999999999,8.087719298245615,5.1308516503645505,8.43859649122807,5.724731032859464
0.5277777777777778,8.087719298245615,5.1308516503645505,8.43859649122807,5.724731032859464
0.5555555555555555,8.087719298245615,5.1308516503645505,8.43859649122807,5.724731032859464
0.5833333333333334,8.06140350877193,5.07364204927764,8.43859649122807,5.724731032859464
0.611111111111111,8.06140350877193,5.07364204927764,8.43859649122807,5.724731032859464
0.6388888888888888,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.6666666666666666,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.6944444444444444,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.7222222222222222,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.75,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.7777777777777777,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.8055555555555555,8.017543859649123,5.069659416465126,8.43859649122807,5.724731032859464
0.8333333333333333,8.008771929824562,5.0740060197377455,8.43859649122807,5.724731032859464
0.861111111111111,8.008771929824562,5.0740060197377455,8.43859649122807,5.724731032859464
0.8888888888888887,8.008771929824562,5.0740060197377455,8.43859649122807,5.724731032859464
