"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","131.57","1.31e-7","2.50e-8","-1.74","-","33.51","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","193.19","1.78e-7","2.90e-8","-1.74","-","30.23","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","244.11","1.91e-7","2.80e-8","-1.74","-","28.57","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","495.66","2.35e-7","2.70e-8","-1.74","-","28.73","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","351.4","1.63e-7","2.10e-8","-1.74","-","30.62","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","260.1","1.30e-7","1.90e-8","-1.74","-","33.90","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","255.66","1.30e-7","2.00e-8","-1.74","-","38.15","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","254.55","1.47e-7","2.30e-8","-1.74","-","43.03","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","153.15","1.28e-7","2.40e-8","-1.74","-","48.29","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","130.71","1.19e-7","2.37e-8","-1.74","-","53.76","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","139.96","1.15e-7","2.25e-8","-1.74","-","59.31","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","231.59","1.43e-7","2.10e-8","-1.74","-","64.87","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","263.72","1.28e-7","1.80e-8","-1.74","-","70.35","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","177.61","9.20e-8","1.67e-8","-1.74","-","75.70","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","195.51","1.23e-7","2.00e-8","-1.74","-","80.86","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","109.72","9.93e-8","2.11e-8","-1.74","-","85.79","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","270.81","1.83e-7","2.70e-8","-1.74","-","90.45","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","254.81","1.82e-7","2.70e-8","-1.74","-","94.84","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","259.09","1.64e-7","2.40e-8","-1.74","-","98.96","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","266.19","1.53e-7","2.10e-8","-1.74","-","102.82","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","241.04","1.11e-7","1.77e-8","-1.74","-","106.47","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","209.31","1.27e-7","2.00e-8","-1.74","-","109.96","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","201.97","1.18e-7","2.02e-8","-1.74","-","113.35","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","168.91","1.30e-7","2.30e-8","-1.74","-","116.68","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","198.3","1.57e-7","2.60e-8","-1.74","-","119.99","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","172.28","1.40e-7","2.40e-8","-1.74","-","123.29","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","242.52","1.27e-7","2.00e-8","-1.74","-","126.54","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","251.74","1.32e-7","2.00e-8","-1.74","-","129.70","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","237.57","1.30e-7","2.00e-8","-1.74","-","132.68","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","179.16","1.16e-7","2.05e-8","-1.74","-","135.34","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","181.68","1.37e-7","2.30e-8","-1.74","-","137.52","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","17.36","3.15e-8","1.86e-8","-1.74","-","139.04","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","96.27","8.15e-8","1.90e-8","-1.74","-","139.72","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","137.95","9.24e-8","1.88e-8","-1.74","-","139.40","1e-8","0","bin34.log"
"Apr 03 2009","2454924.999988426","260452801","179.64","1.11e-7","1.96e-8","-1.74","-","138.02","1e-8","0","bin35.log"
"Apr 10 2009","2454931.999988426","261057601","255.88","1.44e-7","2.10e-8","-1.74","-","135.60","1e-8","0","bin36.log"
"Apr 17 2009","2454938.999988426","261662401","320.46","1.31e-7","1.90e-8","-1.74","-","132.22","1e-8","0","bin37.log"
"Apr 24 2009","2454945.999988426","262267201","213.63","1.53e-7","2.30e-8","-1.74","-","128.00","1e-8","0","bin38.log"
"May 01 2009","2454952.999988426","262872001","131.12","9.96e-8","2.05e-8","-1.74","-","123.08","1e-8","0","bin39.log"
"May 08 2009","2454959.999988426","263476801","110.99","1.20e-7","2.55e-8","-1.74","-","117.59","1e-8","0","bin40.log"
"May 15 2009","2454966.999988426","264081601","328.35","1.85e-7","2.50e-8","-1.74","-","111.63","1e-8","0","bin41.log"
"May 22 2009","2454973.999988426","264686401","445.4","2.28e-7","2.60e-8","-1.74","-","105.30","1e-8","0","bin42.log"
"May 29 2009","2454980.999988426","265291201","267.22","1.59e-7","2.10e-8","-1.74","-","98.69","1e-8","0","bin43.log"
"Jun 05 2009","2454987.999988426","265896001","429.19","2.03e-7","2.20e-8","-1.74","-","91.86","1e-8","0","bin44.log"
"Jun 12 2009","2454994.999988426","266500801","345.17","1.71e-7","2.20e-8","-1.74","-","84.90","1e-8","0","bin45.log"
"Jun 19 2009","2455001.999988426","267105601","239.36","1.44e-7","2.20e-8","-1.74","-","77.87","1e-8","0","bin46.log"
"Jun 26 2009","2455008.999988426","267710401","163.53","1.60e-7","2.60e-8","-1.74","-","70.84","1e-8","0","bin47.log"
"Jul 03 2009","2455015.999988426","268315201","313.22","2.30e-7","3.00e-8","-1.74","-","63.89","1e-8","0","bin48.log"
