"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Nov 13 2008","2454784","248270401","109.91","1.39e-7","3.10e-8","-1.74","-","80.14","1e-8","0","bin34.log"
"Nov 16 2008","2454787","248529601","46.16","8.24e-8","2.75e-8","-1.74","-","82.29","1e-8","0","bin35.log"
"Nov 19 2008","2454790","248788801","64.57","1.07e-7","3.01e-8","-1.74","-","84.41","1e-8","0","bin36.log"
"Nov 22 2008","2454793","249048001","22.45","6.63e-8","2.89e-8","-1.74","-","86.47","1e-8","0","bin37.log"
"Nov 25 2008","2454796","249307201","102.88","1.97e-7","4.20e-8","-1.74","-","88.49","1e-8","0","bin38.log"
"Nov 28 2008","2454799","249566401","123.21","1.67e-7","3.90e-8","-1.74","-","90.45","1e-8","0","bin39.log"
"Dec 01 2008","2454802","249825601","75.47","1.67e-7","4.80e-8","-1.74","-","92.37","1e-8","0","bin40.log"
"Dec 04 2008","2454805","250084801","123.68","1.49e-7","3.70e-8","-1.74","-","94.23","1e-8","0","bin41.log"
"Dec 07 2008","2454808","250344001","117.74","2.12e-7","4.30e-8","-1.74","-","96.05","1e-8","0","bin42.log"
"Dec 10 2008","2454811","250603201","73.77","1.04e-7","2.89e-8","-1.74","-","97.81","1e-8","0","bin43.log"
"Dec 13 2008","2454814","250862401","107.86","1.71e-7","3.70e-8","-1.74","-","99.52","1e-8","0","bin44.log"
"Dec 16 2008","2454817","251121601","118.75","1.90e-7","4.00e-8","-1.74","-","101.19","1e-8","0","bin45.log"
"Dec 19 2008","2454820","251380801","134.2","1.63e-7","3.10e-8","-1.74","-","102.82","1e-8","0","bin46.log"
"Dec 22 2008","2454823","251640001","106.58","1.12e-7","2.63e-8","-1.74","-","104.41","1e-8","0","bin47.log"
"Dec 25 2008","2454826","251899201","88.63","1.07e-7","2.78e-8","-1.74","-","105.96","1e-8","0","bin48.log"
"Dec 28 2008","2454829","252158401","115.93","1.19e-7","2.63e-8","-1.74","-","107.48","1e-8","0","bin49.log"
"Dec 31 2008","2454832","252417601","32.96","7.06e-8","2.62e-8","-1.74","-","108.98","1e-8","0","bin50.log"
"Jan 03 2009","2454834.999988426","252676801","125.31","1.61e-7","3.40e-8","-1.74","-","110.45","1e-8","0","bin51.log"
"Jan 06 2009","2454837.999988426","252936001","110.51","1.21e-7","2.91e-8","-1.74","-","111.91","1e-8","0","bin52.log"
"Jan 09 2009","2454840.999988426","253195201","135.97","1.63e-7","3.50e-8","-1.74","-","113.35","1e-8","0","bin53.log"
"Jan 12 2009","2454843.999988426","253454401","10.56","4.81e-8","2.65e-8","-1.74","-","114.78","1e-8","0","bin54.log"
"Jan 15 2009","2454846.999988426","253713601","34.05","8.73e-8","2.98e-8","-1.74","-","116.21","1e-8","0","bin55.log"
"Jan 18 2009","2454849.999988426","253972801","142.78","2.00e-7","4.10e-8","-1.74","-","117.63","1e-8","0","bin56.log"
"Jan 21 2009","2454852.999988426","254232001","48.94","1.23e-7","4.07e-8","-1.74","-","119.05","1e-8","0","bin57.log"
"Jan 24 2009","2454855.999988426","254491201","147.64","2.01e-7","4.10e-8","-1.74","-","120.47","1e-8","0","bin58.log"
"Jan 27 2009","2454858.999988426","254750401","31.56","9.28e-8","3.40e-8","-1.74","-","121.88","1e-8","0","bin59.log"
"Jan 30 2009","2454861.999988426","255009601","96.7","1.46e-7","3.40e-8","-1.74","-","123.29","1e-8","0","bin60.log"
"Feb 02 2009","2454864.999988426","255268801","56.9","1.44e-7","4.73e-8","-1.74","-","124.69","1e-8","0","bin61.log"
"Feb 05 2009","2454867.999988426","255528001","95.08","1.10e-7","2.74e-8","-1.74","-","126.08","1e-8","0","bin62.log"
"Feb 08 2009","2454870.999988426","255787201","142.4","1.48e-7","3.00e-8","-1.74","-","127.46","1e-8","0","bin63.log"
"Feb 11 2009","2454873.999988426","256046401","110.78","1.29e-7","2.99e-8","-1.74","-","128.82","1e-8","0","bin64.log"
"Feb 14 2009","2454876.999988426","256305601","98.81","1.39e-7","3.10e-8","-1.74","-","130.14","1e-8","0","bin65.log"
"Feb 17 2009","2454879.999988426","256564801","120.97","1.37e-7","3.00e-8","-1.74","-","131.43","1e-8","0","bin66.log"
